Date,Open
1/3/2006,77.76
12/21/2007,85.81
7/3/2006,81.15
10/10/2007,95.12
3/10/2006,71.9
3/7/2007,73.47
1/6/2006,78.64
11/20/2006,81.4
10/8/2007,95.75
3/14/2006,72.18
3/5/2007,73.01
1/4/2006,79.49
7/26/2006,68.11
11/13/2007,80.05
10/11/2007,96.1
3/7/2006,71.8
3/2/2007,73.25
11/9/2007,79.98
5/16/2006,87.12
10/9/2007,94.87
2/8/2006,70.65
11/22/2006,81.6
12/24/2007,85.52
8/14/2006,68.53
11/14/2007,81.56
7/19/2007,91.8
12/20/2007,84.79
8/10/2006,68.41
5/11/2006,87.25
3/6/2007,73.17
1/5/2006,78.41
11/24/2006,80.86
12/26/2007,86.97
8/3/2006,69.61
8/16/2007,83.21
