DATE,S4248SM144NCEN
1992-01-01,3459.0
1992-04-01,4564.0
1992-05-01,4221.0
1992-08-01,4137.0
1992-09-01,4126.0
1992-12-01,4936.0
1993-01-01,3031.0
1993-04-01,4377.0
1993-05-01,4307.0
1993-08-01,4457.0
1993-09-01,4364.0
1993-12-01,4974.0
1994-01-01,3075.0
1994-04-01,4261.0
1994-05-01,4460.0
1994-08-01,4719.0
1994-09-01,4374.0
1994-12-01,4971.0
1995-01-01,3370.0
1995-04-01,3994.0
1995-05-01,4715.0
1995-08-01,5000.0
1995-09-01,4235.0
1995-12-01,4826.0
1996-01-01,3699.0
1996-04-01,4619.0
1996-05-01,5219.0
1996-08-01,5062.0
1996-09-01,4365.0
1996-12-01,5097.0
1997-01-01,3758.0
1997-04-01,4635.0
1997-05-01,5210.0
1997-08-01,5034.0
1997-09-01,4970.0
1997-12-01,5965.0
1998-01-01,3796.0
1998-04-01,5090.0
1998-05-01,5237.0
1998-08-01,5107.0
1998-09-01,5515.0
1998-12-01,6286.0
1999-01-01,4032.0
1999-04-01,5483.0
1999-05-01,5587.0
1999-08-01,5889.0
1999-09-01,5828.0
1999-12-01,6771.0
2000-01-01,4243.0
2000-04-01,5353.0
2000-05-01,6435.0
2000-08-01,6630.0
2000-09-01,5887.0
2000-12-01,6678.0
2001-01-01,5082.0
2001-04-01,5894.0
2001-05-01,6799.0
2001-08-01,6840.0
2001-09-01,5575.0
2001-12-01,7180.0
2002-01-01,5117.0
2002-04-01,6525.0
2002-05-01,7216.0
2002-08-01,7070.0
2002-09-01,6148.0
2002-12-01,7975.0
2003-01-01,5326.0
2003-04-01,6741.0
2003-05-01,7144.0
2003-08-01,7266.0
2003-09-01,6634.0
2003-12-01,8540.0
2004-01-01,5629.0
2004-04-01,7094.0
2004-05-01,7333.0
2004-08-01,7396.0
2004-09-01,7259.0
2004-12-01,9058.0
2005-01-01,5557.0
2005-04-01,7262.0
2005-05-01,8241.0
2005-08-01,8496.0
2005-09-01,7741.0
2005-12-01,8902.0
2006-01-01,6066.0
2006-04-01,7335.0
2006-05-01,8843.0
2006-08-01,9156.0
2006-09-01,8037.0
2006-12-01,9545.0
2007-01-01,6627.0
2007-04-01,7828.0
2007-05-01,9570.0
2007-08-01,9543.0
2007-09-01,8123.0
2007-12-01,10065.0
2008-01-01,7093.0
2008-04-01,8895.0
2008-05-01,9794.0
2008-08-01,9375.0
2008-09-01,9225.0
2008-12-01,10839.0
2009-01-01,7266.0
2009-04-01,9162.0
2009-05-01,9369.0
2009-08-01,8923.0
2009-09-01,9272.0
2009-12-01,10843.0
2010-01-01,6558.0
2010-04-01,9424.0
2010-05-01,9351.0
2010-08-01,9273.0
2010-09-01,9420.0
2010-12-01,11455.0
2011-01-01,6901.0
2011-04-01,9281.0
2011-05-01,9967.0
2011-08-01,10469.0
2011-09-01,10085.0
2011-12-01,11483.0
2012-01-01,7486.0
2012-04-01,9423.0
2012-05-01,11342.0
2012-08-01,11163.0
2012-09-01,9532.0
2012-12-01,11922.0
2013-01-01,8395.0
2013-04-01,10493.0
2013-05-01,12218.0
2013-08-01,11462.0
2013-09-01,10494.0
2013-12-01,12709.0
2014-01-01,8557.0
2014-04-01,10977.0
2014-05-01,11792.0
2014-08-01,10981.0
2014-09-01,10828.0
2014-12-01,13310.0
2015-01-01,8400.0
2015-04-01,11107.0
2015-05-01,11508.0
2015-08-01,11224.0
2015-09-01,12022.0
2015-12-01,14183.0
2016-01-01,8648.0
2016-04-01,11420.0
2016-05-01,12238.0
2016-08-01,12700.0
2016-09-01,12272.0
2016-12-01,14421.0
2017-01-01,9043.0
2017-04-01,11491.0
2017-05-01,13545.0
2017-08-01,13402.0
2017-09-01,11907.0
2017-12-01,14265.0
2018-01-01,9564.0
2018-04-01,11919.0
2018-05-01,14138.0
2018-08-01,14257.0
2018-09-01,12396.0
2018-12-01,15504.0
2019-01-01,10718.0
