Date,Open
01/04/2016,2038.2
01/26/2016,1878.79
01/27/2016,1902.52
02/18/2016,1927.57
02/19/2016,1916.74
03/11/2016,1994.71
03/14/2016,2019.27
04/05/2016,2062.5
04/06/2016,2045.56
04/27/2016,2092.33
04/28/2016,2090.93
05/19/2016,2044.21
05/20/2016,2041.88
06/13/2016,2091.75
06/14/2016,2076.65
07/06/2016,2084.43
07/07/2016,2100.42
07/28/2016,2166.05
07/29/2016,2168.83
08/19/2016,2184.24
08/22/2016,2181.58
09/13/2016,2150.47
09/14/2016,2127.86
10/05/2016,2155.15
10/06/2016,2158.22
10/27/2016,2144.06
10/28/2016,2132.23
11/18/2016,2186.85
11/21/2016,2186.43
12/13/2016,2263.32
12/14/2016,2268.35
01/06/2017,2271.14
01/09/2017,2273.59
01/31/2017,2274.02
02/01/2017,2285.59
02/23/2017,2367.5
02/24/2017,2355.73
03/17/2017,2383.71
03/20/2017,2378.24
04/10/2017,2357.16
04/11/2017,2353.92
05/03/2017,2386.5
05/04/2017,2389.79
05/25/2017,2409.54
05/26/2017,2414.5
06/19/2017,2442.55
06/20/2017,2450.66
07/12/2017,2435.75
07/13/2017,2444.99
08/03/2017,2476.03
08/04/2017,2476.88
08/25/2017,2444.72
08/28/2017,2447.35
09/19/2017,2506.29
09/20/2017,2506.84
10/11/2017,2550.62
10/12/2017,2552.88
11/02/2017,2579.46
11/03/2017,2581.93
11/27/2017,2602.66
11/28/2017,2605.94
12/19/2017,2692.71
12/20/2017,2688.18
01/12/2018,2770.18
01/16/2018,2798.96
02/06/2018,2614.78
02/07/2018,2690.95
03/01/2018,2715.22
03/02/2018,2658.89
03/23/2018,2646.71
03/26/2018,2619.35
04/17/2018,2692.74
04/18/2018,2710.11
05/09/2018,2678.12
05/10/2018,2705.02
06/01/2018,2718.7
06/04/2018,2741.67
06/25/2018,2742.94
06/26/2018,2722.12
07/18/2018,2811.35
07/19/2018,2809.37
08/09/2018,2857.19
08/10/2018,2839.64
08/31/2018,2898.37
09/04/2018,2896.96
09/25/2018,2921.75
09/26/2018,2916.98
10/17/2018,2811.67
10/18/2018,2802.0
11/08/2018,2806.38
11/09/2018,2794.1
12/03/2018,2790.5
12/04/2018,2782.43
12/27/2018,2442.5
12/28/2018,2498.77
01/22/2019,2657.88
01/23/2019,2643.48
02/13/2019,2750.3
02/14/2019,2743.5
03/08/2019,2730.79
03/11/2019,2747.61
04/01/2019,2848.63
04/02/2019,2868.24
04/24/2019,2934.0
04/25/2019,2928.99
05/16/2019,2855.8
05/17/2019,2858.6
06/10/2019,2885.83
06/11/2019,2903.27
07/02/2019,2964.66
07/03/2019,2978.08
07/25/2019,3016.26
07/26/2019,3013.25
08/16/2019,2864.74
08/19/2019,2913.48
09/10/2019,2971.01
09/11/2019,2981.41
10/02/2019,2924.78
10/03/2019,2885.38
10/24/2019,3014.78
10/25/2019,3003.32
11/15/2019,3107.92
11/18/2019,3117.91
12/10/2019,3135.36
12/11/2019,3135.75
01/03/2020,3226.36
01/06/2020,3217.55
01/28/2020,3255.35
01/29/2020,3289.46
02/20/2020,3380.45
02/21/2020,3360.5
03/13/2020,2569.99
03/16/2020,2508.59
04/06/2020,2578.28
04/07/2020,2738.65
04/29/2020,2918.46
04/30/2020,2930.91
05/21/2020,2969.95
05/22/2020,2948.05
06/15/2020,2993.76
06/16/2020,3131.0
07/08/2020,3153.07
07/09/2020,3176.17
07/30/2020,3231.76
07/31/2020,3270.45
08/21/2020,3386.01
08/24/2020,3418.09
09/15/2020,3407.73
09/16/2020,3411.23
10/07/2020,3384.56
10/08/2020,3434.28
10/29/2020,3277.17
10/30/2020,3293.59
11/20/2020,3579.31
11/23/2020,3566.82
12/15/2020,3666.41
12/16/2020,3696.25
12/30/2020,3736.19
