DATE,NA000334Q
1947-01-01,58497.0
1947-10-01,68250.0
1948-01-01,64258.0
1948-10-01,74295.0
1949-01-01,66185.0
1949-10-01,71322.0
1950-01-01,68032.0
1950-10-01,83746.0
1951-01-01,81603.0
1951-10-01,93076.0
1952-01-01,87610.0
1952-10-01,99548.0
1953-01-01,94008.0
1953-10-01,101121.0
1954-01-01,93581.0
1954-10-01,103980.0
1955-01-01,99833.0
1955-10-01,114181.0
1956-01-01,106892.0
1956-10-01,120287.0
1957-01-01,113459.0
1957-10-01,124349.0
1958-01-01,113202.0
1958-10-01,130149.0
1959-01-01,123707.0
1959-10-01,136112.0
1960-01-01,131022.0
1960-10-01,139850.0
1961-01-01,132138.0
1961-10-01,149394.0
1962-01-01,144274.0
1962-10-01,158078.0
1963-01-01,150949.0
1963-10-01,168017.0
1964-01-01,162413.0
1964-10-01,180356.0
1965-01-01,173462.0
1965-10-01,199483.0
1966-01-01,191022.0
1966-10-01,217316.0
1967-01-01,204098.0
1967-10-01,228140.0
1968-01-01,218405.0
1968-10-01,251704.0
1969-01-01,238912.0
1969-10-01,268638.0
1970-01-01,253998.0
1970-10-01,282764.0
1971-01-01,273782.0
1971-10-01,308808.0
1972-01-01,299204.0
1972-10-01,341962.0
1973-01-01,333807.0
1973-10-01,382865.0
1974-01-01,361840.0
1974-10-01,413310.0
1975-01-01,391688.0
1975-10-01,455641.0
1976-01-01,441178.0
1976-10-01,500358.0
1977-01-01,481996.0
1977-10-01,557979.0
1978-01-01,534990.0
1978-10-01,637402.0
1979-01-01,618499.0
1979-10-01,701800.0
1980-01-01,683564.0
1980-10-01,767505.0
1981-01-01,758799.0
1981-10-01,845052.0
1982-01-01,803715.0
1982-10-01,874081.0
1983-01-01,850380.0
1983-10-01,971755.0
1984-01-01,962905.0
1984-10-01,1060096.0
1985-01-01,1033006.0
1985-10-01,1141088.0
1986-01-01,1104498.0
1986-10-01,1188288.0
1987-01-01,1148876.0
1987-10-01,1282952.0
1988-01-01,1236534.0
1988-10-01,1382783.0
1989-01-01,1346036.0
1989-10-01,1471062.0
1990-01-01,1434375.0
1990-10-01,1538100.0
1991-01-01,1475270.0
1991-10-01,1601443.0
1992-01-01,1554707.0
1992-10-01,1705290.0
1993-01-01,1638139.0
1993-10-01,1793877.0
1994-01-01,1736467.0
1994-10-01,1903763.0
1995-01-01,1835147.0
1995-10-01,1984353.0
1996-01-01,1925313.0
1996-10-01,2107553.0
1997-01-01,2043518.0
1997-10-01,2237911.0
1998-01-01,2160749.0
1998-10-01,2370698.0
1999-01-01,2293218.0
1999-10-01,2525048.0
2000-01-01,2449139.0
2000-10-01,2655679.0
2001-01-01,2562436.0
2001-10-01,2711685.0
2002-01-01,2631502.0
2002-10-01,2827263.0
2003-01-01,2744149.0
2003-10-01,2994460.0
2004-01-01,2922104.0
2004-10-01,3189392.0
2005-01-01,3109156.0
2005-10-01,3390598.0
2006-01-01,3334041.0
2006-10-01,3555390.0
2007-01-01,3479565.0
2007-10-01,3730752.0
2008-01-01,3643352.0
2008-10-01,3682056.0
2009-01-01,3510967.0
2009-10-01,3727386.0
2010-01-01,3592249.0
2010-10-01,3877159.0
2011-01-01,3748311.0
2011-10-01,3999363.0
2012-01-01,3947585.0
2012-10-01,4142070.0
2013-01-01,4049584.0
2013-10-01,4336990.0
2014-01-01,4193475.0
2014-10-01,4528375.0
2015-01-01,4393454.0
2015-10-01,4665593.0
2016-01-01,4499936.0
2016-10-01,4826136.0
2017-01-01,4664696.0
2017-10-01,5059332.0
2018-01-01,4932159.0
2018-10-01,5305554.0
2019-01-01,5132160.0
2019-10-01,5528336.0
2020-01-01,5245520.0
2020-10-01,5484017.0
