hehe,DAYTON_MW
0.0,20.867
15.0,24.6
16.0,25.1
31.0,14.1
32.0,14.05
47.0,23.6
48.0,26.5
63.0,26.267
64.0,9.633
79.0,11.7
80.0,15.6
95.0,26.2
96.0,26.75
111.0,14.567
112.0,9.1
127.0,14.333
128.0,12.2
143.0,25.7
144.0,26.767
159.0,13.0
160.0,14.267
175.0,21.3
176.0,21.5
191.0,21.433
192.0,21.25
207.0,25.7
208.0,25.4
223.0,21.633
224.0,21.467
239.0,26.05
240.0,25.1
255.0,25.75
256.0,26.733
271.0,20.55
272.0,21.2
287.0,26.3
288.0,25.267
303.0,12.6
304.0,17.4
319.0,23.5
320.0,22.9
335.0,21.867
336.0,21.467
351.0,24.367
352.0,24.35
367.0,22.667
368.0,25.067
383.0,20.9
384.0,20.633
399.0,10.033
400.0,10.267
415.0,16.633
416.0,20.25
431.0,24.033
432.0,24.5
447.0,10.0
448.0,23.075
463.0,16.45
464.0,13.133
479.0,24.6
480.0,25.9
495.0,12.133
496.0,9.7
511.0,20.333
512.0,20.6
527.0,20.4
528.0,20.133
543.0,21.6
544.0,21.4
559.0,21.3
560.0,20.567
575.0,21.2
576.0,19.633
591.0,9.7
592.0,12.3
607.0,17.7
608.0,18.5
623.0,18.5
624.0,18.2
639.0,14.0
640.0,13.867
655.0,5.35
656.0,10.467
671.0,20.267
672.0,20.1
686.0,6.667
687.0,25.8
688.0,13.35
703.0,14.1
704.0,5.967
719.0,15.433
720.0,19.1
735.0,17.333
736.0,11.967
751.0,5.633
752.0,10.9
767.0,13.167
768.0,28.2
783.0,8.233
784.0,8.3
799.0,6.325
800.0,6.6
815.0,14.867
816.0,19.9
831.0,25.967
832.0,25.033
847.0,19.567
848.0,20.733
863.0,21.033
864.0,20.4
879.0,27.4
880.0,26.3
895.0,7.967
896.0,14.633
911.0,24.133
912.0,23.3
927.0,26.2
928.0,25.233
943.0,20.6
944.0,21.7
959.0,21.1
960.0,20.7
975.0,25.233
976.0,24.3
991.0,20.2
992.0,20.95
1007.0,24.133
1008.0,22.9
1023.0,28.05
1024.0,27.35
1039.0,23.433
1040.0,23.6
1055.0,24.2
1056.0,23.4
1071.0,25.95
1072.0,25.067
1087.0,21.133
1088.0,22.333
1103.0,25.0
1104.0,23.9
1119.0,26.867
1120.0,25.833
1135.0,21.333
1136.0,22.3
1151.0,22.933
1152.0,22.7
1167.0,27.7
1168.0,26.85
1183.0,22.933
1184.0,24.325
1199.0,24.133
1200.0,23.6
1215.0,29.55
1216.0,28.4
1231.0,22.0
1232.0,23.5
1247.0,23.4
1248.0,22.967
1263.0,30.6
1264.0,29.467
1279.0,8.45
1280.0,9.1
1295.0,24.65
1296.0,24.4
1311.0,28.9
1312.0,19.15
1327.0,22.2
1328.0,23.6
1343.0,26.0
1344.0,24.867
1359.0,30.6
1360.0,29.767
1375.0,8.4
1376.0,8.85
1391.0,22.9
1392.0,22.65
1407.0,28.8
1408.0,27.5
1423.0,22.4
1424.0,23.633
1439.0,24.1
1440.0,23.8
1455.0,28.9
1456.0,28.0
1471.0,9.3
1472.0,10.067
1487.0,27.667
1488.0,26.75
1503.0,30.3
1504.0,29.267
1519.0,24.6
1520.0,25.733
1535.0,25.9
1536.0,25.333
1551.0,10.2
1552.0,9.567
1567.0,23.733
1568.0,24.567
1583.0,25.425
1584.0,25.5
1590.0,8.333
1599.0,25.925
1600.0,25.5
1615.0,8.767
1616.0,8.967
1631.0,26.2
1632.0,25.167
1647.0,27.667
1648.0,26.833
1663.0,23.567
1664.0,24.8
1679.0,22.3
1680.0,22.167
1695.0,30.8
1696.0,30.033
1711.0,23.133
1712.0,24.3
1727.0,23.9
1728.0,23.5
1743.0,30.867
1744.0,30.4
1759.0,25.267
1760.0,27.0
1775.0,26.3
1776.0,26.0
1791.0,33.467
1792.0,32.8
1807.0,10.767
1808.0,11.5
1823.0,28.3
1824.0,28.0
1839.0,33.767
1840.0,32.5
1855.0,27.85
1856.0,29.2
1871.0,29.6
1872.0,29.0
1887.0,30.8
1888.0,30.1
1903.0,10.4
1904.0,11.95
1919.0,26.8
1920.0,26.8
1935.0,31.1
1936.0,30.1
1951.0,29.4
1952.0,30.4
1967.0,27.5
1968.0,27.5
1983.0,31.3
1984.0,30.55
1999.0,12.7
2000.0,13.25
2015.0,27.25
2016.0,26.933
2031.0,32.533
2032.0,32.0
2047.0,12.233
2048.0,13.0
2063.0,27.7
2064.0,27.45
2079.0,30.767
2080.0,29.44
2095.0,30.1
2096.0,31.6
2111.0,26.2
2112.0,25.85
2127.0,30.0
2128.0,29.033
2143.0,28.7
2144.0,30.2
2159.0,25.033
2160.0,24.533
2175.0,13.667
2176.0,13.433
2191.0,29.067
2192.0,30.533
2207.0,27.3
2208.0,26.667
2223.0,31.733
2224.0,30.733
2239.0,15.15
2240.0,21.75
2255.0,28.6
2256.0,28.267
2268.0,12.9
2271.0,31.167
2272.0,30.367
2287.0,13.533
2288.0,14.0
2303.0,27.85
2304.0,27.533
2319.0,29.833
2320.0,29.4
2335.0,12.8
2336.0,13.333
2351.0,27.9
2352.0,27.7
2367.0,34.233
2368.0,33.55
2383.0,30.567
2384.0,31.65
2399.0,27.6
2400.0,27.3
2415.0,20.067
2416.0,17.8
2431.0,13.633
2432.0,13.133
2447.0,28.2
2448.0,27.633
2463.0,29.9
2464.0,29.4
2479.0,14.233
2480.0,14.55
2495.0,27.6
2496.0,27.033
2511.0,30.3
2512.0,29.467
2527.0,30.533
2528.0,31.85
2543.0,27.533
2544.0,27.067
2559.0,29.2
2560.0,28.433
2575.0,11.9
2576.0,12.3
2591.0,26.2
2592.0,25.95
2607.0,26.333
2608.0,27.033
2623.0,16.1
2624.0,12.9
2639.0,27.7
2640.0,27.867
2647.0,11.267
2655.0,33.1
2656.0,31.367
2671.0,29.433
2672.0,30.333
2687.0,29.1
2688.0,28.85
2691.0,10.467
2703.0,34.367
2704.0,33.633
2719.0,11.467
2720.0,11.467
2735.0,12.367
2736.0,8.833
2751.0,9.4
2752.0,9.033
2767.0,25.74
2768.0,27.9
2783.0,10.367
2784.0,6.6
2799.0,13.967
2800.0,10.833
2815.0,11.367
2816.0,12.233
2830.0,27.467
2831.0,7.567
2832.0,6.767
2847.0,8.133
2848.0,7.367
2863.0,33.35
2864.0,34.167
2879.0,27.9
2880.0,27.7
2895.0,32.567
2896.0,31.833
2911.0,12.067
2912.0,15.8
2927.0,26.1
2928.0,26.2
2943.0,31.533
2944.0,30.775
2959.0,12.633
2960.0,17.5
2975.0,21.8
2976.0,9.2
2991.0,7.133
2992.0,6.8
3007.0,12.3
3008.0,16.45
3023.0,25.9
3024.0,26.0
3039.0,33.167
3040.0,32.433
3055.0,12.9
3056.0,12.3
3071.0,27.8
3072.0,27.5
3087.0,8.3
3088.0,8.633
3103.0,30.967
3104.0,32.05
3119.0,27.433
3120.0,27.333
3135.0,27.275
3136.0,26.6
3151.0,29.767
3152.0,30.425
3167.0,26.8
3168.0,26.8
3183.0,26.575
3184.0,26.05
3199.0,31.7
3200.0,32.8
3215.0,27.4
3216.0,26.967
3231.0,8.25
3232.0,8.333
3247.0,28.767
3248.0,30.15
3254.0,9.033
3263.0,26.333
3264.0,25.467
3279.0,7.967
3280.0,7.533
3295.0,28.667
3296.0,29.65
3311.0,15.533
3312.0,10.167
3327.0,8.05
3328.0,8.067
3343.0,11.0
3344.0,14.267
3359.0,25.3
3360.0,25.333
3375.0,29.5
3376.0,28.9
3391.0,10.8
3392.0,15.7
3407.0,25.633
3408.0,25.2
3423.0,8.367
3424.0,8.7
3439.0,27.15
3440.0,27.633
3446.0,8.233
3455.0,25.4
3456.0,21.9
3471.0,8.933
3472.0,8.667
3487.0,11.633
3488.0,15.533
3503.0,8.2
3504.0,8.65
3519.0,28.6
3520.0,29.5
3535.0,26.867
3536.0,26.633
3551.0,13.65
3552.0,8.833
3567.0,10.833
3568.0,10.9
3583.0,25.133
3584.0,25.433
3599.0,26.775
3600.0,26.35
3615.0,27.6
3616.0,28.333
3631.0,8.3
3632.0,8.633
3647.0,26.6
3648.0,27.267
3663.0,11.233
3664.0,11.3
3679.0,25.7
3680.0,26.0
