DATE,MILES
01/01/1970,80173.0
01/04/1970,89956.0
01/05/1970,97972.0
01/08/1970,106969.0
01/09/1970,95254.0
01/12/1970,89911.0
01/01/1971,85336.0
01/04/1971,98106.0
01/05/1971,103655.0
01/08/1971,112642.0
01/09/1971,101290.0
01/12/1971,95515.0
01/01/1972,92465.0
01/04/1972,103238.0
01/05/1972,110945.0
01/08/1972,119913.0
01/09/1972,108072.0
01/12/1972,101040.0
01/01/1973,96664.0
01/04/1973,108120.0
01/05/1973,114819.0
01/08/1973,124426.0
01/09/1973,110332.0
01/12/1973,98856.0
01/01/1974,95030.0
01/04/1974,104579.0
01/05/1974,112167.0
01/08/1974,124070.0
01/09/1974,109125.0
01/12/1974,105083.0
01/01/1975,98342.0
01/04/1975,107133.0
01/05/1975,116659.0
01/08/1975,126103.0
01/09/1975,111399.0
01/12/1975,107945.0
01/01/1976,102460.0
01/04/1976,117014.0
01/05/1976,123278.0
01/08/1976,131913.0
01/09/1976,119431.0
01/12/1976,113030.0
01/01/1977,102445.0
01/04/1977,121513.0
01/05/1977,128884.0
01/08/1977,136337.0
01/09/1977,124203.0
01/12/1977,116257.0
01/01/1978,109838.0
01/04/1978,122741.0
01/05/1978,134427.0
01/08/1978,149461.0
01/09/1978,131385.0
01/12/1978,124595.0
01/01/1979,114354.0
01/04/1979,129539.0
01/05/1979,132394.0
01/08/1979,139942.0
01/09/1979,127576.0
01/12/1979,123226.0
01/01/1980,116462.0
01/04/1980,125698.0
01/05/1980,131269.0
01/08/1980,138666.0
01/09/1980,127482.0
01/12/1980,124798.0
01/01/1981,116049.0
01/04/1981,128465.0
01/05/1981,134305.0
01/08/1981,143464.0
01/09/1981,131185.0
01/12/1981,124421.0
01/01/1982,109757.0
01/04/1982,129845.0
01/05/1982,140283.0
01/08/1982,153300.0
01/09/1982,136311.0
01/12/1982,127139.0
01/01/1983,119436.0
01/04/1983,132741.0
01/05/1983,143619.0
01/08/1983,157649.0
01/09/1983,139938.0
01/12/1983,129776.0
01/01/1984,122529.0
01/04/1984,141327.0
01/05/1984,151046.0
01/08/1984,164920.0
01/09/1984,146074.0
01/12/1984,136095.0
01/01/1985,124122.0
01/04/1985,147635.0
01/05/1985,156726.0
01/08/1985,169437.0
01/09/1985,150424.0
01/12/1985,141584.0
01/01/1986,132998.0
01/04/1986,150277.0
01/05/1986,160459.0
01/08/1986,173977.0
01/09/1986,155462.0
01/12/1986,149628.0
01/01/1987,139918.0
01/04/1987,159801.0
01/05/1987,167776.0
01/08/1987,177378.0
01/09/1987,164184.0
01/12/1987,155580.0
01/01/1988,148879.0
01/04/1988,166804.0
01/05/1988,178042.0
01/08/1988,184503.0
01/09/1988,171072.0
01/12/1988,164798.0
01/01/1989,159750.0
01/04/1989,174320.0
01/05/1989,184823.0
01/08/1989,194172.0
01/09/1989,177326.0
01/12/1989,167530.0
01/01/1990,163600.0
01/04/1990,179033.0
01/05/1990,189247.0
01/08/1990,197057.0
01/09/1990,178415.0
01/12/1990,168621.0
01/01/1991,157889.0
01/04/1991,179538.0
01/05/1991,191929.0
01/08/1991,204063.0
01/09/1991,183594.0
01/12/1991,172782.0
01/01/1992,167652.0
01/04/1992,186069.0
01/05/1992,196725.0
01/08/1992,204753.0
01/09/1992,190908.0
01/12/1992,180999.0
01/01/1993,171680.0
01/04/1993,188737.0
01/05/1993,205981.0
01/08/1993,209634.0
01/09/1993,193765.0
01/12/1993,186828.0
01/01/1994,169314.0
01/04/1994,195407.0
01/05/1994,206594.0
01/08/1994,215045.0
01/09/1994,200511.0
01/12/1994,193087.0
01/01/1995,193838.0
01/04/1995,198213.0
01/05/1995,212586.0
01/08/1995,219216.0
01/09/1995,203866.0
01/12/1995,193341.0
01/01/1996,183465.0
01/04/1996,205253.0
01/05/1996,218676.0
01/08/1996,229050.0
01/09/1996,207604.0
01/12/1996,201462.0
01/01/1997,190126.0
01/04/1997,211290.0
01/05/1997,226082.0
01/08/1997,233496.0
01/09/1997,213547.0
01/12/1997,207322.0
01/01/1998,196870.0
01/04/1998,217921.0
01/05/1998,227899.0
01/08/1998,237143.0
01/09/1998,219461.0
01/12/1998,216303.0
01/01/1999,193581.0
01/04/1999,220996.0
01/05/1999,230786.0
01/08/1999,241503.0
01/09/1999,224306.0
01/12/1999,221465.0
01/01/2000,203442.0
01/04/2000,227698.0
01/05/2000,242501.0
01/08/2000,247832.0
01/09/2000,227899.0
01/12/2000,218390.0
01/01/2001,209685.0
01/04/2001,232513.0
01/05/2001,245357.0
01/08/2001,253274.0
01/09/2001,226312.0
01/12/2001,229584.0
01/01/2002,215215.0
01/04/2002,237226.0
01/05/2002,251746.0
01/08/2002,258666.0
01/09/2002,233625.0
01/12/2002,234260.0
01/01/2003,218534.0
01/04/2003,239415.0
01/05/2003,253244.0
01/08/2003,260687.0
01/09/2003,237451.0
01/12/2003,238538.0
01/01/2004,222450.0
01/04/2004,250968.0
01/05/2004,257235.0
01/08/2004,262836.0
01/09/2004,243515.0
01/12/2004,245029.0
01/01/2005,224072.0
01/04/2005,250860.0
01/05/2005,262678.0
01/08/2005,265323.0
01/09/2005,242240.0
01/12/2005,245787.0
01/01/2006,233282.0
01/04/2006,250644.0
01/05/2006,263370.0
01/08/2006,265206.0
01/09/2006,245605.0
01/12/2006,248187.0
01/01/2007,233621.0
01/04/2007,252595.0
01/05/2007,267574.0
01/08/2007,271225.0
01/09/2007,245965.0
01/12/2007,240281.0
01/01/2008,232920.0
01/04/2008,252088.0
01/05/2008,261466.0
01/08/2008,260609.0
01/09/2008,239607.0
01/12/2008,241742.0
01/01/2009,225529.0
01/04/2009,251374.0
01/05/2009,258276.0
01/08/2009,260297.0
01/09/2009,241970.0
01/12/2009,239593.0
01/01/2010,220839.0
01/04/2010,253936.0
01/05/2010,256927.0
01/08/2010,263837.0
01/09/2010,244682.0
01/12/2010,240800.0
01/01/2011,223790.0
01/04/2011,249578.0
01/05/2011,254083.0
01/08/2011,260526.0
01/09/2011,242062.0
01/12/2011,244810.0
01/01/2012,227527.0
01/04/2012,249394.0
01/05/2012,260774.0
01/08/2012,264379.0
01/09/2012,238867.0
01/12/2012,238709.0
01/01/2013,229419.0
01/04/2013,252064.0
01/05/2013,263406.0
01/08/2013,268061.0
01/09/2013,242536.0
