DATE,MILES
01/01/1970,80173
01/02/1970,77442
01/03/1970,90223
01/04/1970,89956
01/05/1970,97972
01/06/1970,100035
01/07/1970,106392
01/08/1970,106969
01/09/1970,95254
01/10/1970,96317
01/11/1970,89684
01/12/1970,89911
01/01/1971,85336
01/02/1971,80118
01/03/1971,92974
01/04/1971,98106
01/05/1971,103655
01/06/1971,105433
01/07/1971,112466
01/08/1971,112642
01/09/1971,101290
01/10/1971,102525
01/11/1971,95555
01/12/1971,95515
01/01/1972,92465
01/02/1972,88272
01/03/1972,102926
01/04/1972,103238
01/05/1972,110945
01/06/1972,113265
01/07/1972,118594
01/08/1972,119913
01/09/1972,108072
01/10/1972,108841
01/11/1972,100791
01/12/1972,101040
01/01/1973,96664
01/02/1973,92567
01/03/1973,107490
01/04/1973,108120
01/05/1973,114819
01/06/1973,115859
01/07/1973,121685
01/08/1973,124426
01/09/1973,110332
01/10/1973,113089
01/11/1973,104381
01/12/1973,98856
01/01/1974,95030
01/02/1974,86426
01/03/1974,100736
01/04/1974,104579
01/05/1974,112167
01/06/1974,113888
01/07/1974,120890
01/08/1974,124070
01/09/1974,109125
01/10/1974,112572
01/11/1974,105079
01/12/1974,105083
01/01/1975,98342
01/02/1975,91303
01/03/1975,106070
01/04/1975,107133
01/05/1975,116659
01/06/1975,118388
01/07/1975,124493
01/08/1975,126103
01/09/1975,111399
01/10/1975,115250
01/11/1975,106990
01/12/1975,107945
01/01/1976,102460
01/02/1976,98528
01/03/1976,114284
01/04/1976,117014
01/05/1976,123278
01/06/1976,124128
01/07/1976,130891
01/08/1976,131913
01/09/1976,119431
01/10/1976,121210
01/11/1976,112996
01/12/1976,113030
01/01/1977,102445
01/02/1977,102416
01/03/1977,119960
01/04/1977,121513
01/05/1977,128884
01/06/1977,129321
01/07/1977,136199
01/08/1977,136337
01/09/1977,124203
01/10/1977,127388
01/11/1977,118486
01/12/1977,116257
01/01/1978,109838
01/02/1978,107018
01/03/1978,125035
01/04/1978,122741
01/05/1978,134427
01/06/1978,138883
01/07/1978,148209
01/08/1978,149461
01/09/1978,131385
01/10/1978,132930
01/11/1978,123690
01/12/1978,124595
01/01/1979,114354
01/02/1979,109650
01/03/1979,131406
01/04/1979,129539
01/05/1979,132394
01/06/1979,131192
01/07/1979,134853
01/08/1979,139942
01/09/1979,127576
01/10/1979,131619
01/11/1979,123381
01/12/1979,123226
01/01/1980,116462
01/02/1980,107338
01/03/1980,125179
01/04/1980,125698
01/05/1980,131269
01/06/1980,131679
01/07/1980,136250
01/08/1980,138666
01/09/1980,127482
01/10/1980,132615
01/11/1980,123420
01/12/1980,124798
01/01/1981,116049
01/02/1981,109765
01/03/1981,127798
01/04/1981,128465
01/05/1981,134305
01/06/1981,135545
01/07/1981,141253
01/08/1981,143464
01/09/1981,131185
01/10/1981,133216
01/11/1981,124804
01/12/1981,124421
01/01/1982,109757
01/02/1982,107512
01/03/1982,128182
01/04/1982,129845
01/05/1982,140283
01/06/1982,142111
01/07/1982,152200
01/08/1982,153300
01/09/1982,136311
01/10/1982,138780
01/11/1982,127061
01/12/1982,127139
01/01/1983,119436
01/02/1983,111828
01/03/1983,132814
01/04/1983,132741
01/05/1983,143619
01/06/1983,146738
01/07/1983,156823
01/08/1983,157649
01/09/1983,139938
01/10/1983,144044
01/11/1983,133700
01/12/1983,129776
01/01/1984,122529
01/02/1984,117483
01/03/1984,137307
01/04/1984,141327
01/05/1984,151046
01/06/1984,153403
01/07/1984,161702
01/08/1984,164920
01/09/1984,146074
01/10/1984,147610
01/11/1984,137272
01/12/1984,136095
01/01/1985,124122
01/02/1985,119367
01/03/1985,144424
01/04/1985,147635
01/05/1985,156726
01/06/1985,158703
01/07/1985,166881
01/08/1985,169437
01/09/1985,150424
01/10/1985,154587
01/11/1985,140872
01/12/1985,141584
01/01/1986,132998
01/02/1986,123526
01/03/1986,151183
01/04/1986,150277
01/05/1986,160459
01/06/1986,162370
01/07/1986,171114
01/08/1986,173977
01/09/1986,155462
01/10/1986,159434
01/11/1986,147813
01/12/1986,149628
01/01/1987,139918
01/02/1987,135996
01/03/1987,157573
01/04/1987,159801
01/05/1987,167776
01/06/1987,167826
01/07/1987,175783
01/08/1987,177378
01/09/1987,164184
01/10/1987,166836
01/11/1987,155676
01/12/1987,155580
01/01/1988,148879
01/02/1988,141748
01/03/1988,167836
01/04/1988,166804
01/05/1988,178042
01/06/1988,178690
01/07/1988,184779
01/08/1988,184503
01/09/1988,171072
01/10/1988,175478
01/11/1988,162957
01/12/1988,164798
01/01/1989,159750
01/02/1989,146732
01/03/1989,174990
01/04/1989,174320
01/05/1989,184823
01/06/1989,184094
01/07/1989,190985
01/08/1989,194172
01/09/1989,177326
01/10/1989,182583
01/11/1989,169735
01/12/1989,167530
01/01/1990,163600
01/02/1990,153559
01/03/1990,178771
01/04/1990,179033
01/05/1990,189247
01/06/1990,189529
01/07/1990,195470
01/08/1990,197057
01/09/1990,178415
01/10/1990,182634
01/11/1990,171565
01/12/1990,168621
01/01/1991,157889
01/02/1991,153351
01/03/1991,179076
01/04/1991,179538
01/05/1991,191929
01/06/1991,193467
01/07/1991,198387
01/08/1991,204063
01/09/1991,183594
01/10/1991,188445
01/11/1991,169693
01/12/1991,172782
01/01/1992,167652
01/02/1992,160204
01/03/1992,183778
01/04/1992,186069
01/05/1992,196725
01/06/1992,197232
01/07/1992,206616
01/08/1992,204753
01/09/1992,190908
01/10/1992,194836
01/11/1992,177380
01/12/1992,180999
01/01/1993,171680
01/02/1993,162844
01/03/1993,187869
01/04/1993,188737
01/05/1993,205981
01/06/1993,199414
01/07/1993,209838
01/08/1993,209634
01/09/1993,193765
01/10/1993,197793
01/11/1993,182322
01/12/1993,186828
