Date,Open
1/3/2006,77.76
1/25/2006,73.25
1/26/2006,73.22
2/16/2006,73.2
2/17/2006,73.15
3/13/2006,72.5
3/14/2006,72.18
4/4/2006,76.52
4/5/2006,77.89
4/27/2006,85.0
4/28/2006,85.0
5/19/2006,84.56
5/22/2006,84.31
6/13/2006,80.35
6/14/2006,79.8
7/6/2006,80.87
7/7/2006,76.28
7/28/2006,70.31
7/31/2006,70.1
8/21/2006,71.3
8/22/2006,71.13
9/13/2006,72.6
9/14/2006,73.4
10/5/2006,75.0
10/6/2006,75.95
10/27/2006,79.2
10/30/2006,78.99
11/20/2006,81.4
11/21/2006,80.92
12/13/2006,79.5
12/14/2006,79.4
1/9/2007,78.0
1/10/2007,77.31
2/1/2007,74.75
2/2/2007,73.87
2/26/2007,76.45
2/27/2007,76.13
3/20/2007,76.49
3/21/2007,76.25
4/12/2007,76.24
4/13/2007,77.25
5/4/2007,83.9
5/7/2007,84.21
5/29/2007,87.17
5/30/2007,87.32
6/20/2007,87.97
6/21/2007,86.91
7/13/2007,89.58
7/16/2007,90.63
8/6/2007,87.7
8/7/2007,86.96
8/28/2007,88.59
8/29/2007,88.05
9/20/2007,91.23
9/21/2007,92.5
10/12/2007,94.67
10/15/2007,94.18
11/5/2007,84.94
11/6/2007,85.12
11/28/2007,82.57
11/29/2007,83.08
12/20/2007,84.79
12/21/2007,85.81
1/15/2008,78.0
1/16/2008,76.83
2/7/2008,78.6
2/8/2008,78.85
3/3/2008,78.16
3/4/2008,77.92
3/26/2008,78.73
3/27/2008,78.8
4/17/2008,80.57
4/18/2008,81.84
5/9/2008,75.99
5/12/2008,76.67
6/3/2008,76.5
6/4/2008,76.17
6/25/2008,72.4
6/26/2008,72.29
7/18/2008,69.48
7/21/2008,69.36
8/11/2008,73.19
8/12/2008,74.54
9/3/2008,70.31
9/4/2008,70.23
9/25/2008,68.82
9/26/2008,68.8
10/17/2008,56.16
10/20/2008,57.67
11/10/2008,65.98
11/11/2008,63.26
12/3/2008,59.66
12/4/2008,60.13
12/26/2008,55.55
12/29/2008,55.55
1/21/2009,54.61
1/22/2009,53.65
2/12/2009,50.45
2/13/2009,50.6
3/9/2009,41.31
3/10/2009,42.1
3/31/2009,49.11
4/1/2009,48.95
4/23/2009,53.24
4/24/2009,54.26
5/15/2009,57.76
5/18/2009,58.3
6/9/2009,60.6
6/10/2009,60.62
7/1/2009,60.31
7/2/2009,59.9
7/24/2009,69.4
7/27/2009,69.39
8/17/2009,70.49
8/18/2009,70.39
9/9/2009,71.61
9/10/2009,73.05
10/1/2009,73.56
10/2/2009,71.81
10/23/2009,78.42
10/26/2009,77.66
11/16/2009,77.55
11/17/2009,77.89
12/9/2009,78.25
12/10/2009,79.96
1/4/2010,83.09
1/5/2010,82.8
1/27/2010,81.33
1/28/2010,82.62
2/19/2010,81.14
2/22/2010,81.71
3/15/2010,81.16
3/16/2010,81.26
4/7/2010,84.11
4/8/2010,83.41
4/29/2010,88.94
4/30/2010,88.7
5/21/2010,78.42
5/24/2010,80.73
6/15/2010,79.09
6/16/2010,79.28
7/8/2010,81.12
7/9/2010,81.11
7/30/2010,85.5
8/2/2010,86.8
8/23/2010,81.01
8/24/2010,80.2
9/15/2010,84.47
9/16/2010,84.02
10/7/2010,89.86
10/8/2010,89.82
10/29/2010,85.01
11/1/2010,84.57
11/22/2010,84.66
11/23/2010,83.91
12/15/2010,85.84
12/16/2010,85.89
1/7/2011,86.55
1/10/2011,85.72
2/1/2011,88.02
2/2/2011,87.68
2/24/2011,90.43
2/25/2011,89.75
3/18/2011,89.72
3/21/2011,90.27
4/11/2011,93.59
4/12/2011,93.2
5/4/2011,96.55
5/5/2011,95.61
5/26/2011,92.65
5/27/2011,93.46
6/20/2011,91.42
6/21/2011,92.81
7/13/2011,96.09
7/14/2011,94.82
8/4/2011,85.07
8/5/2011,83.44
8/26/2011,77.73
8/29/2011,81.3
9/20/2011,79.44
9/21/2011,79.33
10/12/2011,76.73
10/13/2011,78.27
11/3/2011,78.86
11/4/2011,78.97
11/28/2011,77.2
11/29/2011,78.0
12/20/2011,79.19
12/21/2011,80.43
1/13/2012,83.75
1/17/2012,84.85
2/7/2012,87.32
2/8/2012,88.12
3/1/2012,87.72
3/2/2012,87.47
3/23/2012,88.63
3/26/2012,88.92
4/17/2012,86.7
4/18/2012,86.9
5/9/2012,86.64
5/10/2012,87.14
6/1/2012,83.05
6/4/2012,82.79
6/25/2012,85.87
6/26/2012,85.91
7/18/2012,88.75
7/19/2012,90.87
8/9/2012,91.5
8/10/2012,91.37
8/31/2012,92.44
9/4/2012,92.03
9/25/2012,93.95
9/26/2012,92.88
10/17/2012,94.94
10/18/2012,94.68
11/12/2012,88.96
11/13/2012,88.6
12/5/2012,90.3
12/6/2012,90.8
12/28/2012,91.98
12/31/2012,91.55
1/23/2013,98.97
1/24/2013,99.38
2/14/2013,102.43
2/15/2013,103.06
3/11/2013,105.33
3/12/2013,105.82
4/3/2013,106.6
4/4/2013,105.82
4/25/2013,104.46
4/26/2013,104.97
5/17/2013,111.16
5/20/2013,111.13
6/11/2013,109.9
6/12/2013,110.99
7/3/2013,108.28
7/5/2013,110.37
7/26/2013,116.17
7/29/2013,116.41
8/19/2013,115.83
8/20/2013,115.52
9/11/2013,117.63
9/12/2013,118.8
10/3/2013,118.71
10/4/2013,118.37
10/25/2013,123.05
10/28/2013,124.13
11/18/2013,129.91
11/19/2013,130.02
1/3/2006,77.76
1/4/2006,79.49
1/26/2006,73.22
1/27/2006,72.45
2/17/2006,73.15
2/21/2006,73.67
3/14/2006,72.18
3/15/2006,73.28
4/5/2006,77.89
4/6/2006,79.99
4/28/2006,85.0
5/1/2006,85.51
5/22/2006,84.31
5/23/2006,83.6
6/14/2006,79.8
6/15/2006,79.65
7/7/2006,76.28
7/10/2006,74.48
7/31/2006,70.1
8/1/2006,70.0
8/22/2006,71.13
8/23/2006,71.05
9/14/2006,73.4
9/15/2006,74.25
10/6/2006,75.95
10/9/2006,75.56
10/30/2006,78.99
10/31/2006,78.99
11/21/2006,80.92
11/22/2006,81.6
12/14/2006,79.4
12/15/2006,79.67
1/10/2007,77.31
1/11/2007,78.05
2/2/2007,73.87
2/5/2007,74.08
2/27/2007,76.13
2/28/2007,74.25
3/21/2007,76.25
3/22/2007,77.09
4/13/2007,77.25
4/16/2007,76.91
5/7/2007,84.21
5/8/2007,84.94
5/30/2007,87.32
5/31/2007,87.93
6/21/2007,86.91
6/22/2007,86.56
7/16/2007,90.63
7/17/2007,91.44
8/7/2007,86.96
8/8/2007,87.9
8/29/2007,88.05
8/30/2007,88.4
9/21/2007,92.5
9/24/2007,91.6
10/15/2007,94.18
10/16/2007,94.43
11/6/2007,85.12
11/7/2007,85.3
11/29/2007,83.08
11/30/2007,84.44
12/21/2007,85.81
12/24/2007,85.52
1/16/2008,76.83
1/17/2008,77.38
2/8/2008,78.85
2/11/2008,78.38
3/4/2008,77.92
3/5/2008,78.91
3/27/2008,78.8
3/28/2008,78.39
4/18/2008,81.84
4/21/2008,83.0
5/12/2008,76.67
5/13/2008,77.72
6/4/2008,76.17
6/5/2008,76.59
6/26/2008,72.29
6/27/2008,70.48
7/21/2008,69.36
7/22/2008,68.12
8/12/2008,74.54
8/13/2008,73.49
9/4/2008,70.23
9/5/2008,69.49
9/26/2008,68.8
9/29/2008,68.93
10/20/2008,57.67
10/21/2008,60.15
11/11/2008,63.26
11/12/2008,61.18
12/4/2008,60.13
12/5/2008,58.21
12/29/2008,55.55
12/30/2008,55.56
1/22/2009,53.65
1/23/2009,53.01
2/13/2009,50.6
2/17/2009,48.93
3/10/2009,42.1
3/11/2009,44.87
4/1/2009,48.95
4/2/2009,51.59
4/24/2009,54.26
4/27/2009,56.45
5/18/2009,58.3
5/19/2009,59.07
6/10/2009,60.62
6/11/2009,60.57
7/2/2009,59.9
7/6/2009,59.87
7/27/2009,69.39
7/28/2009,69.65
8/18/2009,70.39
8/19/2009,69.35
9/10/2009,73.05
9/11/2009,74.41
10/2/2009,71.81
10/5/2009,71.94
10/26/2009,77.66
10/27/2009,76.99
11/17/2009,77.89
11/18/2009,78.06
12/10/2009,79.96
12/11/2009,80.58
12/22/2009,81.85
