Date,Open
1/3/2006,77.76
1/9/2006,78.5
1/20/2006,76.91
2/7/2006,71.16
2/24/2006,73.94
3/14/2006,72.18
5/10/2006,87.25
5/16/2006,87.12
5/26/2006,83.26
6/2/2006,84.8
6/8/2006,79.8
6/30/2006,81.64
8/10/2006,68.41
8/22/2006,71.13
8/28/2006,69.75
9/1/2006,71.74
9/8/2006,70.75
10/24/2006,79.95
11/3/2006,79.08
11/21/2006,80.92
1/10/2007,77.31
1/17/2007,79.33
1/29/2007,78.54
2/2/2007,73.87
2/14/2007,76.43
3/5/2007,73.01
5/23/2007,87.65
6/5/2007,88.07
6/11/2007,85.94
6/15/2007,87.58
6/27/2007,85.82
7/16/2007,90.63
8/7/2007,86.96
8/23/2007,89.34
8/29/2007,88.05
9/5/2007,90.4
9/11/2007,88.01
10/9/2007,94.87
11/12/2007,79.53
12/11/2007,87.05
12/17/2007,85.39
12/28/2007,86.12
1/23/2008,73.55
2/4/2008,81.23
2/8/2008,78.85
2/14/2008,81.24
2/27/2008,80.68
3/10/2008,76.73
4/2/2008,81.24
4/14/2008,78.29
4/18/2008,81.84
4/30/2008,77.0
5/16/2008,77.99
6/16/2008,75.76
7/15/2008,68.61
8/12/2008,74.54
9/16/2008,68.47
9/22/2008,72.78
10/8/2008,59.46
10/14/2008,61.96
10/20/2008,57.67
11/5/2008,64.64
11/21/2008,57.78
11/28/2008,65.18
12/10/2008,56.91
12/29/2008,55.55
1/9/2009,58.8
1/22/2009,53.65
1/28/2009,54.45
2/3/2009,51.25
2/9/2009,52.46
3/4/2009,43.88
1/4/2006,79.49
1/27/2006,72.45
2/2/2006,73.16
2/8/2006,70.65
4/12/2006,79.98
5/11/2006,87.25
6/15/2006,79.65
7/3/2006,81.15
7/10/2006,74.48
7/26/2006,68.11
8/1/2006,70.0
8/11/2006,68.55
9/15/2006,74.25
9/27/2006,74.85
10/3/2006,73.26
11/22/2006,81.6
12/11/2006,78.76
1/24/2007,78.85
2/5/2007,74.08
2/15/2007,76.9
3/6/2007,73.17
5/24/2007,87.62
6/12/2007,85.3
6/18/2007,87.68
6/22/2007,86.56
7/17/2007,91.44
8/14/2007,86.27
9/6/2007,90.26
9/12/2007,88.56
9/18/2007,89.25
10/10/2007,95.12
10/22/2007,85.35
10/26/2007,86.48
11/7/2007,85.3
11/13/2007,80.05
12/12/2007,88.1
1/24/2008,76.4
2/5/2008,79.31
2/11/2008,78.38
2/28/2008,80.06
3/17/2008,75.64
4/21/2008,83.0
5/1/2008,76.94
5/19/2008,78.66
6/17/2008,75.44
7/3/2008,68.77
7/22/2008,68.12
8/13/2008,73.49
8/25/2008,71.47
8/29/2008,72.14
9/11/2008,68.24
9/23/2008,70.77
10/9/2008,57.5
