Date,Open
1/3/2006,77.76
1/4/2006,79.49
1/5/2006,78.41
1/10/2006,79.0
1/13/2006,76.95
1/20/2006,76.91
1/25/2006,73.25
2/1/2006,72.3
2/2/2006,73.16
2/6/2006,71.0
2/8/2006,70.65
2/15/2006,73.71
2/23/2006,73.1
2/24/2006,73.94
3/1/2006,74.19
3/7/2006,71.8
3/8/2006,72.51
3/10/2006,71.9
3/14/2006,72.18
3/17/2006,75.3
3/22/2006,74.76
3/23/2006,76.68
3/28/2006,76.84
3/29/2006,77.81
4/3/2006,75.97
4/7/2006,81.25
4/10/2006,80.11
4/12/2006,79.98
4/13/2006,80.9
4/18/2006,80.36
4/20/2006,81.85
4/21/2006,84.0
4/25/2006,85.0
4/26/2006,84.84
5/1/2006,85.51
5/3/2006,84.75
5/9/2006,87.61
5/15/2006,86.7
5/16/2006,87.12
5/18/2006,83.63
5/19/2006,84.56
5/24/2006,83.19
5/25/2006,83.95
5/26/2006,83.26
6/1/2006,83.66
6/2/2006,84.8
6/7/2006,82.26
6/8/2006,79.8
6/9/2006,81.39
6/15/2006,79.65
6/16/2006,80.98
6/20/2006,79.43
6/22/2006,80.65
6/23/2006,79.6
6/27/2006,80.4
6/28/2006,78.71
6/30/2006,81.64
7/6/2006,80.87
7/7/2006,76.28
7/11/2006,73.25
7/12/2006,73.5
7/18/2006,70.9
7/25/2006,71.0
7/26/2006,68.11
7/28/2006,70.31
8/9/2006,69.36
8/10/2006,68.41
8/14/2006,68.53
8/15/2006,69.49
8/16/2006,70.3
8/18/2006,71.52
8/28/2006,69.75
8/30/2006,72.0
9/7/2006,71.5
9/8/2006,70.75
9/15/2006,74.25
9/19/2006,74.78
9/20/2006,73.3
9/25/2006,73.18
9/27/2006,74.85
10/2/2006,74.7
10/3/2006,73.26
10/6/2006,75.95
10/11/2006,75.2
10/13/2006,75.83
10/17/2006,75.25
10/18/2006,76.0
10/19/2006,75.53
10/20/2006,78.09
10/24/2006,79.95
11/1/2006,78.83
11/7/2006,79.51
11/13/2006,79.05
11/20/2006,81.4
11/27/2006,81.1
11/28/2006,79.9
12/1/2006,81.55
12/5/2006,79.65
12/6/2006,80.55
12/8/2006,78.72
12/15/2006,79.67
12/18/2006,78.35
12/21/2006,79.0
1/3/2007,77.53
1/4/2007,78.4
1/10/2007,77.31
1/16/2007,79.48
1/23/2007,78.71
1/25/2007,79.56
1/29/2007,78.54
1/30/2007,74.92
2/2/2007,73.87
2/8/2007,74.88
2/12/2007,74.55
2/13/2007,76.0
2/15/2007,76.9
2/27/2007,76.13
2/28/2007,74.25
3/5/2007,73.01
3/9/2007,74.59
3/14/2007,74.78
3/16/2007,76.23
3/19/2007,75.54
3/23/2007,77.59
3/30/2007,75.98
4/2/2007,76.44
4/4/2007,77.5
4/12/2007,76.24
4/13/2007,77.25
4/18/2007,77.34
4/19/2007,76.36
4/20/2007,77.96
4/25/2007,76.96
4/26/2007,80.31
4/27/2007,79.97
5/3/2007,84.31
5/4/2007,83.9
5/8/2007,84.94
5/9/2007,84.4
5/14/2007,85.3
5/15/2007,84.83
5/16/2007,86.48
5/17/2007,86.09
5/23/2007,87.65
5/29/2007,87.17
6/4/2007,88.43
6/7/2007,86.62
6/8/2007,84.89
6/11/2007,85.94
6/12/2007,85.3
6/13/2007,85.7
6/14/2007,87.2
6/20/2007,87.97
6/21/2007,86.91
6/27/2007,85.82
6/28/2007,87.0
7/3/2007,88.0
7/10/2007,87.94
7/11/2007,87.22
7/17/2007,91.44
7/18/2007,91.1
7/19/2007,91.8
7/20/2007,90.5
7/23/2007,90.61
7/24/2007,90.54
7/26/2007,89.62
7/30/2007,90.18
8/3/2007,88.68
8/7/2007,86.96
8/8/2007,87.9
8/9/2007,87.9
8/10/2007,86.36
8/13/2007,87.16
8/16/2007,83.21
8/17/2007,87.0
8/23/2007,89.34
8/29/2007,88.05
9/4/2007,90.96
9/7/2007,90.39
9/11/2007,88.01
9/13/2007,89.08
9/18/2007,89.25
9/19/2007,91.75
9/20/2007,91.23
9/21/2007,92.5
9/25/2007,91.49
9/28/2007,93.98
10/2/2007,94.35
10/3/2007,93.66
10/8/2007,95.75
10/9/2007,94.87
10/11/2007,96.1
10/12/2007,94.67
