Date,Open
2006-01-03,77.76
2006-02-16,73.2
2006-02-17,73.15
2006-04-04,76.52
2006-04-05,77.89
2006-05-19,84.56
2006-05-22,84.31
2006-07-06,80.87
2006-07-07,76.28
2006-08-21,71.3
2006-08-22,71.13
2006-10-05,75.0
2006-10-06,75.95
2006-11-20,81.4
2006-11-21,80.92
2007-01-09,78.0
2007-01-10,77.31
2007-02-26,76.45
2007-02-27,76.13
2007-04-12,76.24
2007-04-13,77.25
2007-05-29,87.17
2007-05-30,87.32
2007-07-13,89.58
2007-07-16,90.63
2007-08-28,88.59
2007-08-29,88.05
2007-10-12,94.67
2007-10-15,94.18
2007-11-28,82.57
2007-11-29,83.08
2008-01-15,78.0
2008-01-16,76.83
2008-03-03,78.16
2008-03-04,77.92
2008-04-17,80.57
2008-04-18,81.84
2008-06-03,76.5
2008-06-04,76.17
2008-07-18,69.48
2008-07-21,69.36
2008-09-03,70.31
2008-09-04,70.23
2008-10-17,56.16
2008-10-20,57.67
2008-12-03,59.66
2008-12-04,60.13
2009-01-21,54.61
2009-01-22,53.65
2009-03-09,41.31
2009-03-10,42.1
2009-04-23,53.24
2009-04-24,54.26
2009-06-09,60.6
2009-06-10,60.62
2009-07-24,69.4
2009-07-27,69.39
2009-09-09,71.61
2009-09-10,73.05
2009-10-23,78.42
2009-10-26,77.66
2009-12-09,78.25
2009-12-10,79.96
2010-01-27,81.33
2010-01-28,82.62
2010-03-15,81.16
2010-03-16,81.26
2010-04-29,88.94
2010-04-30,88.7
2010-06-15,79.09
2010-06-16,79.28
2010-07-30,85.5
2010-08-02,86.8
2010-09-15,84.47
2010-09-16,84.02
2010-10-29,85.01
2010-11-01,84.57
2010-12-15,85.84
2010-12-16,85.89
2011-02-01,88.02
2011-02-02,87.68
2011-03-18,89.72
2011-03-21,90.27
2011-05-04,96.55
2011-05-05,95.61
2011-06-20,91.42
2011-06-21,92.81
2011-08-04,85.07
2011-08-05,83.44
2011-09-20,79.44
2011-09-21,79.33
2011-11-03,78.86
2011-11-04,78.97
2011-12-20,79.19
2011-12-21,80.43
2012-02-07,87.32
2012-02-08,88.12
2012-03-23,88.63
2012-03-26,88.92
2012-05-09,86.64
2012-05-10,87.14
2012-06-25,85.87
2012-06-26,85.91
2012-08-09,91.5
2012-08-10,91.37
2012-09-25,93.95
2012-09-26,92.88
2012-11-12,88.96
2012-11-13,88.6
2012-12-28,91.98
2012-12-31,91.55
2013-02-14,102.43
2013-02-15,103.06
2013-04-03,106.6
2013-04-04,105.82
2013-05-17,111.16
2013-05-20,111.13
2013-07-03,108.28
2013-07-05,110.37
2013-08-19,115.83
2013-08-20,115.52
2013-10-03,118.71
2013-10-04,118.37
2013-11-18,129.91
2013-11-19,130.02
2014-01-06,138.75
2014-01-07,137.45
2014-02-21,131.56
2014-02-24,131.89
2014-04-08,134.44
2014-04-09,135.0
2014-05-23,140.23
2014-05-27,141.5
2014-07-10,143.5
2014-07-11,144.14
2014-08-25,144.66
2014-08-26,145.0
2014-10-09,141.15
2014-10-10,139.33
2014-11-24,160.16
2014-11-25,159.0
2015-01-12,162.39
2015-01-13,162.23
2015-02-27,169.66
2015-03-02,168.16
2015-04-15,166.72
2015-04-16,165.73
2015-06-01,159.1
2015-06-02,158.28
2015-07-16,157.58
2015-07-17,156.5
2015-08-31,143.0
2015-09-01,139.48
2015-10-15,149.64
2015-10-16,149.77
2015-12-01,156.41
2015-12-02,156.88
2016-01-19,140.1
2016-01-20,136.95
2016-03-04,159.46
2016-03-07,159.98
2016-04-20,170.14
2016-04-21,168.97
2016-06-06,168.85
2016-06-07,170.25
2016-07-21,181.29
2016-07-22,180.42
2016-09-06,180.56
2016-09-07,180.04
2016-10-20,169.57
2016-10-21,168.11
2016-12-06,171.82
2016-12-07,172.38
2017-01-24,177.5
2017-01-25,177.09
2017-03-10,190.64
2017-03-13,191.77
2017-04-26,195.7
2017-04-27,195.43
2017-06-12,207.06
2017-06-13,207.58
2017-07-27,199.14
2017-07-28,200.79
2017-09-12,209.91
2017-09-13,209.12
2017-10-26,238.26
2017-10-27,234.23
2017-12-12,236.58
2017-12-13,236.91
2006-01-31,52.51
2006-02-01,52.45
2006-03-17,54.41
2006-03-20,55.0
2006-05-03,52.45
2006-05-04,52.25
2006-06-19,52.91
2006-06-20,52.38
2006-08-03,51.4
2006-08-04,52.38
2006-09-19,53.41
2006-09-20,53.68
2006-11-02,57.55
2006-11-03,57.51
2006-12-19,61.45
2006-12-20,61.5
2007-02-07,58.23
2007-02-08,58.68
2007-03-26,57.4
2007-03-27,56.95
2007-05-10,63.0
2007-05-11,62.75
2007-06-26,61.8
2007-06-27,61.33
2007-08-10,60.0
2007-08-13,61.02
2007-09-26,59.22
2007-09-27,59.48
2007-11-09,55.25
2007-11-12,56.28
2007-12-27,52.38
2007-12-28,51.71
2008-02-13,45.5
2008-02-14,46.96
2008-04-01,44.9
2008-04-02,47.48
2008-05-15,49.51
2008-05-16,49.99
2008-07-01,37.95
2008-07-02,40.11
2008-08-15,38.6
2008-08-18,39.2
2008-10-01,34.91
2008-10-02,35.3
2008-11-14,20.0
2008-11-17,19.47
2009-01-02,18.57
2009-01-05,19.2
2009-02-19,14.26
2009-02-20,12.59
2009-04-06,15.08
2009-04-07,15.12
2009-05-21,23.66
2009-05-22,24.0
2009-07-08,22.53
2009-07-09,23.06
2009-08-21,32.96
2009-08-24,33.7
2009-10-07,33.26
2009-10-08,34.21
2009-11-20,40.84
2009-11-23,41.81
2010-01-08,41.76
2010-01-11,41.74
2010-02-25,37.67
2010-02-26,38.15
2010-04-13,44.39
2010-04-14,45.46
2010-05-27,39.03
2010-05-28,40.17
2010-07-14,43.95
2010-07-15,43.97
2010-08-27,40.0
2010-08-30,40.69
2010-10-13,38.92
2010-10-14,39.12
2010-11-29,42.08
2010-11-30,42.75
2011-01-13,44.81
2011-01-14,44.93
2011-03-02,43.06
2011-03-03,43.43
2011-04-15,46.1
2011-04-18,45.85
2011-06-02,49.99
2011-06-03,49.45
2011-07-19,51.74
2011-07-20,52.17
2011-09-01,49.64
2011-09-02,48.67
2011-10-18,45.21
2011-10-19,46.71
2011-12-02,48.34
2011-12-05,49.16
2012-01-20,49.13
2012-01-23,50.02
2012-03-07,51.84
2012-03-08,52.74
2012-04-23,56.96
2012-04-24,57.24
2012-06-07,56.06
2012-06-08,55.13
2012-07-24,55.71
2012-07-25,55.82
2012-09-07,57.36
2012-09-10,57.89
2012-10-23,56.19
2012-10-24,55.61
2012-12-11,57.0
2012-12-12,57.35
2013-01-29,59.08
2013-01-30,59.24
2013-03-15,65.64
2013-03-18,65.06
2013-05-01,68.25
2013-05-02,68.43
2013-06-17,73.69
2013-06-18,74.08
2013-08-01,74.53
2013-08-02,75.62
2013-09-17,75.6
2013-09-18,76.99
2013-10-31,82.79
2013-11-01,82.12
2013-12-17,84.67
2013-12-18,84.3
2014-02-04,83.19
2014-02-05,83.51
2014-03-21,92.78
2014-03-24,91.64
2014-05-07,86.79
2014-05-08,87.88
2014-06-23,95.33
2014-06-24,95.09
2014-08-07,86.79
2014-08-08,86.09
2014-09-23,88.55
2014-09-24,88.47
2014-11-06,92.13
2014-11-07,91.71
2014-12-23,93.7
2014-12-24,93.96
2015-02-10,85.6
2015-02-11,85.87
2015-03-27,78.4
2015-03-30,78.35
2015-05-13,79.5
2015-05-14,80.34
2015-06-29,79.22
2015-06-30,78.17
2015-08-13,80.85
2015-08-14,80.51
2015-09-29,73.3
2015-09-30,73.89
2015-11-12,72.72
2015-11-13,71.69
2015-12-30,70.51
2015-12-31,70.01
2016-02-17,53.5
2016-02-18,53.5
2016-04-04,61.01
2016-04-05,60.14
2016-05-18,62.53
2016-05-19,63.06
2016-07-05,60.22
2016-07-06,58.75
2016-08-18,65.52
2016-08-19,65.47
2016-10-04,63.84
2016-10-05,63.77
2016-11-17,71.36
2016-11-18,71.53
2017-01-05,76.0
2017-01-06,75.4
2017-02-22,79.83
2017-02-23,79.87
2017-04-07,77.48
2017-04-10,77.92
2017-05-24,77.46
2017-05-25,77.49
2017-07-11,84.23
2017-07-12,84.28
2017-08-24,85.49
2017-08-25,85.5
2017-10-10,91.88
2017-10-11,91.86
2017-11-24,93.97
2017-11-27,93.57
2006-01-12,12.14
2006-01-13,12.14
2006-03-01,9.83
2006-03-02,9.86
2006-04-17,9.5
2006-04-18,9.29
2006-06-01,8.55
2006-06-02,8.92
2006-07-18,7.59
2006-07-19,7.57
2006-08-31,9.61
2006-09-01,9.78
2006-10-17,10.72
2006-10-18,10.68
2006-12-01,13.11
2006-12-04,13.13
2007-01-22,12.73
2007-01-23,12.25
2007-03-08,12.66
2007-03-09,12.69
2007-04-24,13.42
2007-04-25,13.46
2007-06-08,17.98
2007-06-11,18.0
2007-07-25,19.62
2007-07-26,20.84
2007-09-10,19.57
2007-09-11,19.7
2007-10-24,26.54
2007-10-25,26.41
2007-12-10,27.66
2007-12-11,27.82
