SNo,Confirmed
1.0,1.0
64.0,3.0
65.0,6.0
128.0,2.0
129.0,2.0
192.0,33.0
193.0,22.0
256.0,6.0
257.0,6.0
320.0,7.0
321.0,2.0
384.0,1.0
385.0,4.0
448.0,0.0
449.0,0.0
512.0,0.0
513.0,0.0
576.0,1.0
577.0,1.0
640.0,1.0
641.0,1.0
704.0,2.0
705.0,2.0
768.0,2.0
769.0,2.0
832.0,10.0
833.0,8.0
896.0,36.0
897.0,28.0
960.0,104.0
961.0,99.0
1024.0,364.0
1025.0,315.0
1088.0,29631.0
1089.0,1131.0
1152.0,1.0
1153.0,1.0
1216.0,2.0
1217.0,2.0
1280.0,5.0
1281.0,4.0
1344.0,28.0
1345.0,28.0
1408.0,126.0
1409.0,119.0
1472.0,463.0
1473.0,419.0
1536.0,1.0
1537.0,0.0
1600.0,1.0
1601.0,1.0
1664.0,3.0
1665.0,3.0
1728.0,22.0
1729.0,22.0
1792.0,131.0
1793.0,128.0
1856.0,560.0
1857.0,544.0
1920.0,1.0
1921.0,1.0
1984.0,2.0
1985.0,1.0
2048.0,9.0
2049.0,9.0
2112.0,135.0
2113.0,132.0
2176.0,1342.0
2177.0,1271.0
2240.0,1.0
2241.0,1.0
2304.0,16.0
2305.0,13.0
2368.0,400.0
2369.0,336.0
2432.0,1.0
2433.0,1.0
2496.0,13.0
2497.0,13.0
2560.0,934.0
2561.0,756.0
2624.0,2.0
2625.0,2.0
2688.0,121.0
2689.0,94.0
2752.0,0.0
2753.0,1.0
2816.0,44.0
2817.0,42.0
2880.0,1.0
2881.0,1.0
2944.0,21.0
2945.0,19.0
3008.0,1.0
3009.0,1.0
3072.0,25.0
3073.0,21.0
3136.0,1.0
3137.0,1.0
3200.0,100.0
3201.0,93.0
3264.0,2.0
3265.0,2.0
3328.0,990.0
3329.0,935.0
3392.0,10.0
3393.0,10.0
3456.0,1.0
3457.0,1.0
3520.0,93.0
3521.0,87.0
3584.0,3.0
3585.0,3.0
3648.0,1.0
3649.0,1.0
3712.0,40.0
3713.0,31.0
3776.0,2.0
3777.0,2.0
3840.0,1.0
3841.0,1.0
3904.0,75.0
3905.0,75.0
3968.0,4.0
