timedelta,dst
0 days 00:00:00,-7.0
2 days 15:00:00,-40.0
2 days 16:00:00,-31.0
5 days 07:00:00,-13.0
5 days 08:00:00,-10.0
7 days 23:00:00,-9.0
8 days 00:00:00,-8.0
10 days 15:00:00,3.0
10 days 16:00:00,4.0
13 days 07:00:00,-12.0
13 days 08:00:00,-12.0
15 days 23:00:00,-16.0
16 days 00:00:00,-18.0
18 days 15:00:00,3.0
18 days 16:00:00,5.0
21 days 07:00:00,14.0
21 days 08:00:00,11.0
23 days 23:00:00,-57.0
24 days 00:00:00,-55.0
26 days 15:00:00,-24.0
26 days 16:00:00,-27.0
29 days 07:00:00,-24.0
29 days 08:00:00,-18.0
31 days 23:00:00,-4.0
32 days 00:00:00,-8.0
34 days 15:00:00,-29.0
34 days 16:00:00,-34.0
37 days 07:00:00,-10.0
37 days 08:00:00,-10.0
39 days 23:00:00,-26.0
40 days 00:00:00,-21.0
42 days 15:00:00,-32.0
42 days 16:00:00,-33.0
45 days 07:00:00,-3.0
45 days 08:00:00,-1.0
47 days 23:00:00,-9.0
48 days 00:00:00,-7.0
50 days 15:00:00,3.0
50 days 16:00:00,3.0
53 days 07:00:00,-12.0
53 days 08:00:00,-8.0
55 days 23:00:00,-4.0
56 days 00:00:00,-5.0
58 days 15:00:00,2.0
58 days 16:00:00,0.0
61 days 07:00:00,-4.0
61 days 08:00:00,-6.0
63 days 23:00:00,-10.0
64 days 00:00:00,-6.0
66 days 15:00:00,5.0
66 days 16:00:00,3.0
69 days 07:00:00,-38.0
69 days 08:00:00,-40.0
71 days 23:00:00,-19.0
72 days 00:00:00,-16.0
74 days 15:00:00,0.0
74 days 16:00:00,-4.0
77 days 07:00:00,-185.0
77 days 08:00:00,-170.0
79 days 23:00:00,-53.0
80 days 00:00:00,-44.0
82 days 15:00:00,-35.0
82 days 16:00:00,-42.0
85 days 07:00:00,-45.0
85 days 08:00:00,-43.0
87 days 23:00:00,-6.0
88 days 00:00:00,-6.0
90 days 15:00:00,-22.0
90 days 16:00:00,-26.0
93 days 07:00:00,-2.0
93 days 08:00:00,-4.0
95 days 23:00:00,-9.0
96 days 00:00:00,-7.0
98 days 15:00:00,-19.0
98 days 16:00:00,-29.0
101 days 07:00:00,-4.0
101 days 08:00:00,-4.0
103 days 23:00:00,-20.0
104 days 00:00:00,-20.0
106 days 15:00:00,3.0
106 days 16:00:00,5.0
109 days 07:00:00,-7.0
109 days 08:00:00,-2.0
111 days 23:00:00,-19.0
112 days 00:00:00,-24.0
114 days 15:00:00,-3.0
114 days 16:00:00,3.0
117 days 07:00:00,-3.0
117 days 08:00:00,-5.0
119 days 23:00:00,-16.0
120 days 00:00:00,-14.0
122 days 15:00:00,7.0
122 days 16:00:00,10.0
125 days 07:00:00,-20.0
125 days 08:00:00,-23.0
127 days 23:00:00,-36.0
128 days 00:00:00,-29.0
130 days 15:00:00,-22.0
130 days 16:00:00,-30.0
133 days 07:00:00,-5.0
133 days 08:00:00,-5.0
135 days 23:00:00,6.0
136 days 00:00:00,-6.0
138 days 15:00:00,-18.0
138 days 16:00:00,-20.0
141 days 07:00:00,-15.0
141 days 08:00:00,-16.0
143 days 23:00:00,-28.0
144 days 00:00:00,-26.0
146 days 15:00:00,-15.0
146 days 16:00:00,-14.0
149 days 07:00:00,6.0
149 days 08:00:00,8.0
151 days 23:00:00,-20.0
152 days 00:00:00,-20.0
154 days 15:00:00,-11.0
154 days 16:00:00,-12.0
157 days 07:00:00,-36.0
157 days 08:00:00,-39.0
159 days 23:00:00,-18.0
160 days 00:00:00,-14.0
162 days 15:00:00,20.0
162 days 16:00:00,14.0
165 days 07:00:00,-22.0
165 days 08:00:00,-34.0
167 days 23:00:00,5.0
168 days 00:00:00,4.0
170 days 15:00:00,0.0
170 days 16:00:00,-2.0
173 days 07:00:00,-45.0
173 days 08:00:00,-41.0
175 days 23:00:00,-18.0
176 days 00:00:00,-17.0
178 days 15:00:00,-12.0
178 days 16:00:00,-10.0
181 days 07:00:00,-9.0
181 days 08:00:00,-10.0
183 days 23:00:00,-5.0
184 days 00:00:00,-6.0
186 days 15:00:00,-13.0
186 days 16:00:00,-7.0
189 days 07:00:00,-22.0
189 days 08:00:00,-21.0
191 days 23:00:00,-71.0
192 days 00:00:00,-97.0
194 days 15:00:00,-51.0
194 days 16:00:00,-60.0
197 days 07:00:00,-19.0
197 days 08:00:00,-17.0
199 days 23:00:00,-16.0
200 days 00:00:00,-9.0
202 days 15:00:00,-10.0
202 days 16:00:00,-12.0
205 days 07:00:00,-17.0
205 days 08:00:00,-15.0
207 days 23:00:00,-11.0
208 days 00:00:00,-14.0
210 days 15:00:00,-19.0
210 days 16:00:00,-18.0
213 days 07:00:00,-1.0
213 days 08:00:00,-3.0
215 days 23:00:00,-31.0
216 days 00:00:00,-28.0
218 days 15:00:00,-4.0
218 days 16:00:00,-5.0
221 days 07:00:00,-202.0
221 days 08:00:00,-196.0
223 days 23:00:00,-37.0
224 days 00:00:00,-35.0
226 days 15:00:00,-2.0
226 days 16:00:00,-2.0
229 days 07:00:00,-53.0
229 days 08:00:00,-48.0
231 days 23:00:00,-7.0
232 days 00:00:00,-5.0
234 days 15:00:00,-30.0
234 days 16:00:00,-30.0
237 days 07:00:00,-16.0
237 days 08:00:00,-19.0
239 days 23:00:00,-6.0
240 days 00:00:00,-6.0
242 days 15:00:00,-6.0
242 days 16:00:00,-7.0
245 days 07:00:00,-85.0
245 days 08:00:00,-94.0
247 days 23:00:00,-31.0
248 days 00:00:00,-29.0
250 days 15:00:00,-26.0
250 days 16:00:00,-29.0
253 days 07:00:00,-11.0
253 days 08:00:00,-8.0
255 days 23:00:00,-5.0
256 days 00:00:00,-8.0
258 days 15:00:00,-4.0
258 days 16:00:00,-6.0
261 days 07:00:00,-3.0
