Date,Views
2015-07-01,20.38
2015-07-04,20.44
2015-07-05,20.77
2015-07-08,19.11
2015-07-09,19.99
2015-07-12,20.23
2015-07-13,20.52
2015-07-16,19.66
2015-07-17,18.99
2015-07-20,20.34
2015-07-21,19.74
2015-07-24,18.64
2015-07-25,19.32
2015-07-28,19.89
2015-07-29,27.56
2015-08-01,18.18
2015-08-02,19.41
2015-08-05,20.25
2015-08-06,20.06
2015-08-09,19.71
2015-08-10,19.85
2015-08-13,19.19
2015-08-14,19.45
2015-08-17,20.31
2015-08-18,20.08
2015-08-21,18.9
2015-08-22,18.8
2015-08-25,18.56
2015-08-26,18.09
2015-08-29,17.84
2015-08-30,18.2
2015-09-02,18.42
2015-09-03,17.85
2015-09-06,19.0
2015-09-07,19.74
2015-09-10,18.07
2015-09-11,18.56
2015-09-14,19.22
2015-09-15,19.27
2015-09-18,17.71
2015-09-19,17.85
2015-09-22,18.83
2015-09-23,19.59
2015-09-26,18.1
2015-09-27,18.7
2015-09-30,19.7
2015-10-01,18.84
2015-10-04,18.94
2015-10-05,19.28
2015-10-08,19.05
2015-10-09,18.44
2015-10-12,20.29
2015-10-13,19.56
2015-10-16,17.87
2015-10-17,18.04
2015-10-20,20.67
2015-10-21,21.55
2015-10-24,17.53
2015-10-25,20.1
2015-10-28,20.54
2015-10-29,18.82
2015-11-01,17.97
2015-11-02,21.33
2015-11-05,19.78
2015-11-06,18.06
2015-11-09,20.78
2015-11-10,19.63
2015-11-13,18.12
2015-11-14,18.07
2015-11-17,19.79
2015-11-18,19.89
2015-11-21,18.95
2015-11-22,19.46
2015-11-25,18.82
2015-11-26,18.14
2015-11-29,19.28
2015-11-30,21.37
2015-12-03,18.57
2015-12-04,17.96
2015-12-07,21.11
2015-12-08,20.08
2015-12-11,17.55
2015-12-12,16.26
2015-12-15,17.27
2015-12-16,17.62
2015-12-19,16.65
2015-12-20,16.68
2015-12-23,17.78
2015-12-24,17.21
2015-12-27,17.4
2015-12-28,18.94
2015-12-31,16.96
2016-01-01,16.36
2016-01-04,19.23
2016-01-05,18.14
2016-01-08,16.44
2016-01-09,16.44
2016-01-12,18.45
2016-01-13,17.2
2016-01-16,18.22
2016-01-17,18.7
2016-01-20,18.72
2016-01-21,18.93
2016-01-24,17.62
2016-01-25,20.1
2016-01-28,17.27
2016-01-29,17.16
2016-02-01,20.28
2016-02-02,18.92
2016-02-05,17.84
2016-02-06,18.59
2016-02-09,20.4
2016-02-10,17.8
2016-02-13,17.48
2016-02-14,18.73
2016-02-17,20.48
2016-02-18,18.84
2016-02-21,18.61
2016-02-22,20.42
2016-02-25,19.34
2016-02-26,18.11
2016-02-29,21.58
2016-03-01,19.91
2016-03-04,17.95
2016-03-05,19.49
2016-03-08,18.44
2016-03-09,18.14
2016-03-12,16.38
2016-03-13,14.68
2016-03-16,16.29
2016-03-17,16.04
2016-03-20,18.17482758620689
2016-03-21,15.32
2016-03-24,14.59
2016-03-25,17.672592592592586
2016-03-28,17.45
2016-03-29,15.72
2016-04-01,16.65192307692307
2016-04-02,15.13
2016-04-05,17.0
2016-04-06,17.03
2016-04-09,17.17
2016-04-10,17.37
2016-04-13,17.13
2016-04-14,17.17
2016-04-17,17.53
2016-04-18,20.15
2016-04-21,15.7
2016-04-22,15.58
2016-04-25,20.18
2016-04-26,17.81
2016-04-29,16.02
2016-04-30,17.19
2016-05-03,19.15
2016-05-04,18.69
2016-05-07,17.23
2016-05-08,17.88
2016-05-11,18.15
2016-05-12,18.43
2016-05-15,19.18
2016-05-16,21.1
2016-05-19,17.64
2016-05-20,16.16
2016-05-23,19.55
2016-05-24,18.48
2016-05-27,16.35
2016-05-28,18.1
2016-05-31,19.03
2016-06-01,18.73
2016-06-04,15.62
2016-06-05,18.88
2016-06-08,20.11
2016-06-09,18.97
2016-06-12,21.56
2016-06-13,22.99
2016-06-16,18.2
2016-06-17,16.32
2016-06-20,20.93
2016-06-21,19.77
2016-06-24,17.87
2016-06-25,19.31
2016-06-28,20.02
2016-06-29,19.58
2016-07-02,20.22
2016-07-03,20.83
2016-07-06,14.51
2016-07-07,14.88
2016-07-10,20.36
2016-07-11,21.42
2016-07-14,19.21
2016-07-15,17.86
2016-07-18,22.11
2016-07-19,20.95
2016-07-22,19.374444444444457
2016-07-23,19.36615384615386
2016-07-26,19.395217391304364
2016-07-27,19.428181818181837
2016-07-30,19.190000000000023
2016-07-31,19.29833333333336
2016-08-03,18.98000000000003
2016-08-04,18.998571428571463
2016-08-07,20.0445454545455
2016-08-08,20.208000000000048
2016-08-11,20.040000000000067
2016-08-12,20.176666666666744
2016-08-15,21.26000000000015
2016-08-16,21.530000000000225
2016-08-19,20.31
2016-08-20,23.25
