SN,Average
0.0,37.5
63.0,145.0
64.0,175.0
127.0,55.0
128.0,255.0
191.0,47.5
192.0,67.5
255.0,45.0
256.0,75.0
319.0,37.5
320.0,42.5
383.0,20.0
384.0,21.0
447.0,12.5
448.0,22.5
511.0,75.0
512.0,55.0
575.0,55.0
576.0,135.0
639.0,55.0
640.0,255.0
703.0,57.5
704.0,185.0
767.0,125.0
768.0,175.0
831.0,125.0
832.0,55.0
895.0,42.5
896.0,37.5
959.0,37.5
960.0,42.5
1023.0,37.5
1024.0,32.5
1087.0,37.5
1088.0,47.5
1151.0,45.0
1152.0,37.5
1215.0,55.0
1216.0,215.0
1279.0,32.5
1280.0,95.0
1343.0,16.5
1344.0,55.0
1407.0,65.0
1408.0,255.0
1471.0,57.5
1472.0,175.0
1535.0,125.0
1536.0,7.5
1599.0,65.0
1600.0,47.5
1663.0,32.5
1664.0,210.0
1727.0,32.5
1728.0,42.5
1791.0,42.5
1792.0,30.0
1855.0,37.5
1856.0,37.5
1919.0,19.5
1920.0,51.0
1983.0,65.0
1984.0,85.0
2047.0,42.5
2048.0,57.5
2111.0,27.5
2112.0,16.5
2175.0,350.0
2176.0,205.0
2239.0,65.0
2240.0,65.0
2303.0,47.5
2304.0,125.0
2367.0,57.5
2368.0,75.0
2431.0,32.5
2432.0,175.0
2495.0,32.5
2496.0,27.5
2559.0,32.5
2560.0,32.5
2623.0,31.0
2624.0,27.0
2687.0,27.5
2688.0,22.5
2751.0,32.5
2752.0,37.5
2815.0,52.5
2816.0,26.0
2879.0,52.5
2880.0,52.5
2943.0,32.5
2944.0,57.5
3007.0,32.0
3008.0,62.5
3071.0,47.5
3072.0,170.0
3135.0,52.5
3136.0,52.5
3199.0,29.0
3200.0,37.5
3263.0,42.5
3264.0,32.5
3327.0,31.0
3328.0,37.5
3391.0,29.5
3392.0,24.5
3455.0,52.5
3456.0,87.5
3519.0,185.0
3520.0,175.0
3583.0,75.0
3584.0,27.5
3647.0,85.0
3648.0,55.0
3711.0,155.0
3712.0,62.5
3775.0,225.0
3776.0,55.0
3839.0,57.5
3840.0,57.5
3903.0,37.5
3904.0,47.5
3967.0,27.5
3968.0,27.5
4031.0,37.5
4032.0,45.0
4095.0,55.0
4096.0,55.0
4159.0,31.5
4160.0,26.5
4223.0,57.5
4224.0,87.5
4287.0,172.5
4288.0,95.0
4351.0,27.5
4352.0,95.0
4415.0,55.0
4416.0,350.0
4479.0,57.5
4480.0,125.0
4543.0,55.0
4544.0,145.0
4607.0,52.5
4608.0,52.5
4671.0,37.5
4672.0,22.5
4735.0,37.5
4736.0,32.5
4799.0,27.5
4800.0,37.5
4863.0,96.0
4864.0,57.5
4927.0,55.0
4928.0,230.0
4991.0,115.0
4992.0,47.5
5055.0,57.5
5056.0,27.5
5119.0,62.5
5120.0,85.0
5183.0,65.0
5184.0,190.0
5247.0,47.5
5248.0,125.0
5311.0,47.5
5312.0,52.5
5375.0,32.5
5376.0,67.5
5439.0,42.5
5440.0,22.5
5503.0,27.5
5504.0,27.5
5567.0,37.5
5568.0,24.5
5631.0,110.0
5632.0,67.5
5695.0,27.5
5696.0,62.5
5759.0,47.5
5760.0,350.0
5823.0,125.0
5824.0,145.0
5887.0,57.5
5888.0,65.0
5951.0,17.5
5952.0,55.0
6015.0,45.0
6016.0,65.0
6079.0,87.5
6080.0,85.0
6143.0,85.0
6144.0,75.0
6207.0,85.0
6208.0,32.5
6271.0,70.0
6272.0,55.0
6335.0,155.0
6336.0,275.0
6399.0,57.5
6400.0,22.5
6463.0,42.5
6464.0,42.5
6527.0,52.5
6528.0,52.5
6591.0,110.0
6592.0,107.5
6655.0,77.5
6656.0,85.0
6719.0,42.5
6720.0,37.5
6783.0,17.5
6784.0,15.0
6847.0,22.5
6848.0,37.5
6911.0,45.0
6912.0,29.5
6975.0,65.0
6976.0,102.5
7039.0,145.0
7040.0,165.0
7103.0,95.0
7104.0,65.0
7167.0,135.0
7168.0,55.0
7231.0,145.0
7232.0,57.5
7295.0,95.0
7296.0,95.0
7359.0,115.0
7360.0,22.5
7423.0,105.0
7424.0,52.5
7487.0,39.0
7488.0,92.5
7551.0,65.0
7552.0,92.5
7615.0,27.5
7616.0,65.0
7679.0,57.5
7680.0,350.0
7743.0,125.0
7744.0,57.5
7807.0,65.0
7808.0,135.0
7871.0,65.0
7872.0,130.0
7935.0,47.5
7936.0,110.0
7999.0,190.0
8000.0,42.5
8063.0,85.0
8064.0,65.0
8127.0,75.0
8128.0,102.5
8191.0,65.0
8192.0,102.5
8255.0,105.0
8256.0,95.0
8319.0,65.0
8320.0,102.5
8383.0,92.5
8384.0,125.0
8447.0,90.0
8448.0,125.0
8511.0,53.0
8512.0,85.0
8575.0,125.0
8576.0,145.0
8639.0,125.0
8640.0,190.0
8703.0,85.0
8704.0,85.0
8767.0,65.0
8768.0,135.0
8831.0,57.5
8832.0,145.0
8895.0,145.0
8896.0,42.5
8959.0,77.5
8960.0,85.0
9023.0,17.0
9024.0,42.5
9087.0,47.5
9088.0,55.0
9151.0,75.0
9152.0,57.5
9215.0,45.0
9216.0,40.0
9279.0,225.0
9280.0,65.0
9343.0,105.0
9344.0,205.0
9407.0,55.0
9408.0,85.0
9471.0,115.0
9472.0,65.0
9535.0,175.0
9536.0,57.5
9599.0,57.5
9600.0,65.0
9663.0,45.0
9664.0,37.5
9727.0,50.0
9728.0,57.5
9791.0,37.5
9792.0,27.5
9855.0,225.0
9856.0,47.5
9919.0,42.5
9920.0,47.5
9983.0,42.5
9984.0,32.5
10047.0,45.0
10048.0,350.0
10111.0,145.0
10112.0,57.5
10175.0,65.0
10176.0,75.0
10239.0,42.5
10240.0,42.5
10303.0,37.5
10304.0,39.0
10367.0,25.0
10368.0,30.5
10431.0,41.5
10432.0,55.0
10495.0,47.5
10496.0,52.5
10559.0,155.0
10560.0,47.5
10623.0,47.5
10624.0,57.5
10687.0,17.0
10688.0,37.5
10751.0,27.5
10752.0,12.5
10815.0,87.5
10816.0,155.0
10879.0,37.5
10880.0,105.0
10943.0,75.0
10944.0,135.0
11007.0,57.5
11008.0,57.5
11071.0,17.0
11072.0,22.5
11135.0,22.5
11136.0,26.0
11199.0,65.0
11200.0,102.5
11263.0,47.5
11264.0,55.0
11327.0,42.5
11328.0,75.0
11391.0,57.5
11392.0,57.5
11455.0,32.5
11456.0,17.0
11519.0,34.0
11520.0,22.5
11583.0,235.0
11584.0,37.5
11647.0,57.5
11648.0,55.0
11711.0,175.0
11712.0,47.5
11775.0,52.5
11776.0,47.5
11839.0,52.5
11840.0,115.0
11903.0,31.0
11904.0,22.0
11967.0,45.0
11968.0,57.5
12031.0,85.0
12032.0,65.0
12095.0,145.0
12096.0,37.5
12159.0,52.5
12160.0,62.5
12223.0,16.0
12224.0,37.5
12287.0,18.0
12288.0,32.5
12351.0,92.5
12352.0,175.0
12415.0,55.0
12416.0,37.5
12479.0,287.5
12480.0,155.0
12543.0,27.5
12544.0,125.0
12607.0,32.5
12608.0,29.0
12671.0,95.0
12672.0,32.5
12735.0,32.5
12736.0,12.5
12799.0,145.0
12800.0,75.0
12863.0,47.5
12864.0,45.0
12927.0,350.0
12928.0,275.0
12991.0,125.0
12992.0,175.0
13055.0,32.5
13056.0,47.5
13119.0,32.5
13120.0,37.5
13183.0,140.0
13184.0,35.0
13247.0,135.0
13248.0,55.0
13311.0,175.0
13312.0,32.5
13375.0,52.5
13376.0,32.5
13439.0,27.5
13440.0,32.5
13503.0,18.0
13504.0,27.5
13567.0,45.0
13568.0,92.5
13631.0,55.0
13632.0,32.5
13695.0,155.0
13696.0,65.0
13759.0,105.0
13760.0,57.5
13823.0,32.5
13824.0,57.5
13887.0,27.5
13888.0,10.0
13951.0,95.0
13952.0,57.5
14015.0,95.0
14016.0,45.0
14079.0,155.0
14080.0,65.0
14143.0,52.5
14144.0,37.5
14207.0,47.5
14208.0,275.0
14271.0,31.0
14272.0,20.5
14335.0,95.0
14336.0,45.0
14399.0,155.0
14400.0,65.0
14463.0,37.5
14464.0,29.0
14527.0,67.5
14528.0,26.0
14591.0,28.5
14592.0,26.0
14655.0,235.0
14656.0,85.0
14719.0,57.5
14720.0,350.0
14783.0,85.0
14784.0,225.0
14847.0,32.5
14848.0,115.0
14911.0,18.0
14912.0,24.0
14975.0,85.0
14976.0,75.0
15039.0,105.0
15040.0,75.0
15103.0,115.0
15104.0,115.0
15167.0,32.5
15168.0,95.0
15231.0,27.5
15232.0,27.0
15295.0,130.0
15296.0,235.0
15359.0,105.0
15360.0,47.5
15423.0,55.0
15424.0,32.5
15487.0,27.5
15488.0,16.5
15551.0,37.5
15552.0,47.5
15615.0,97.5
15616.0,55.0
15679.0,65.0
15680.0,57.5
15743.0,75.0
15744.0,155.0
15807.0,42.5
15808.0,37.5
15871.0,37.5
15872.0,85.0
15935.0,215.0
15936.0,32.5
15999.0,75.0
16000.0,65.0
16063.0,55.0
16064.0,42.5
16127.0,27.5
16128.0,42.5
16191.0,41.5
16192.0,38.0
16255.0,215.0
16256.0,29.0
16319.0,65.0
16320.0,57.5
16383.0,155.0
16384.0,67.5
16447.0,85.0
16448.0,37.5
16511.0,52.5
16512.0,31.0
16575.0,54.0
16576.0,47.5
16639.0,82.5
16640.0,215.0
16703.0,23.5
16704.0,95.0
16767.0,57.5
16768.0,57.5
16831.0,30.0
16832.0,47.5
16895.0,27.5
16896.0,17.5
16959.0,195.0
16960.0,185.0
17023.0,65.0
17024.0,195.0
17087.0,175.0
17088.0,212.5
17151.0,37.5
17152.0,52.5
17215.0,35.0
17216.0,29.0
17279.0,27.5
17280.0,47.5
17343.0,215.0
17344.0,65.0
17407.0,29.0
17408.0,35.0
17471.0,32.5
17472.0,52.5
17535.0,42.5
17536.0,19.0
17599.0,75.0
17600.0,47.5
17663.0,80.0
17664.0,145.0
17727.0,115.0
17728.0,145.0
17791.0,47.5
17792.0,57.5
17855.0,52.5
17856.0,32.5
17919.0,32.5
17920.0,24.5
17983.0,55.0
17984.0,52.5
18047.0,47.5
18048.0,75.0
18111.0,42.5
18112.0,35.0
18175.0,37.5
18176.0,37.5
18239.0,32.5
18240.0,22.5
18303.0,47.5
18304.0,75.0
