Month,Sunspots
1749-01,58.0
1750-04,88.3
1750-05,90.0
1751-08,59.8
1751-09,23.5
1752-12,40.0
1753-01,44.0
1754-04,13.7
1754-05,20.7
1755-08,3.2
1755-09,17.8
1756-12,9.4
1757-01,14.1
1758-04,72.3
1758-05,46.4
1759-08,71.3
1759-09,77.2
1760-12,61.0
1761-01,70.0
1762-04,60.2
1762-05,39.9
1763-08,26.5
1763-09,68.1
1764-12,25.7
1765-01,24.0
1766-04,6.0
1766-05,26.8
1767-08,40.8
1767-09,42.7
1768-12,111.8
1769-01,73.9
1770-04,51.0
1770-05,70.1
1771-08,58.5
1771-09,101.4
1772-12,64.0
1773-01,54.6
1774-04,43.8
1774-05,51.3
1775-08,7.9
1775-09,3.2
1776-12,40.0
1777-01,45.0
1778-04,145.0
1778-05,238.9
1779-08,112.0
1779-09,111.0
1780-12,58.7
1781-01,98.7
1782-04,41.0
1782-05,54.3
1783-08,20.0
1783-09,18.0
1784-12,14.0
1785-01,6.5
1786-04,85.4
1786-05,92.3
1787-08,137.2
1787-09,157.3
1788-12,129.5
1789-01,114.0
1790-04,94.0
1790-05,93.0
1791-08,43.0
1791-09,66.5
1792-12,56.0
1793-01,56.0
1794-04,28.4
1794-05,55.7
1795-08,25.7
1795-09,13.5
1796-12,5.1
1797-01,14.4
1798-04,1.1
1798-05,0.0
1799-08,0.0
1799-09,0.0
1800-12,40.1
1801-01,27.0
1802-04,42.0
1802-05,44.0
1803-08,34.1
1803-09,45.3
1804-12,60.0
1805-01,61.0
1806-04,27.7
1806-05,26.4
1807-08,12.0
1807-09,5.7
1808-12,12.3
1809-01,7.2
1810-04,0.0
1810-05,0.0
1811-08,0.0
1811-09,2.4
1812-12,10.1
1813-01,0.0
1814-04,23.8
1814-05,5.8
1815-08,47.2
1815-09,31.5
1816-12,29.9
1817-01,36.4
1818-04,34.5
1818-05,53.1
1819-08,26.1
1819-09,14.9
1820-12,9.7
1821-01,21.5
1822-04,13.5
1822-05,1.5
1823-08,0.0
1823-09,0.0
1824-12,0.8
1825-01,5.0
1826-04,24.0
1826-05,32.4
1827-08,53.7
1827-09,49.6
1828-12,46.6
