No,Iws
1.0,1.79
32.0,10.72
33.0,12.51
64.0,121.58
65.0,124.71
96.0,198.45
97.0,201.58
128.0,33.52
129.0,39.33
160.0,24.59
161.0,26.38
192.0,6.71
193.0,0.89
224.0,19.22
225.0,22.35
256.0,66.16
257.0,71.97
288.0,160.03
289.0,169.86
320.0,13.85
321.0,15.64
352.0,1.78
353.0,2.23
384.0,2.68
385.0,5.81
416.0,4.02
417.0,5.81
448.0,0.45
449.0,1.34
480.0,65.7
481.0,75.53
512.0,59.0
513.0,63.92
544.0,79.15
545.0,86.3
576.0,129.18
577.0,141.25
608.0,8.5
609.0,1.79
640.0,24.15
641.0,32.2
672.0,7.15
673.0,12.07
704.0,3.13
705.0,0.89
736.0,0.89
737.0,1.79
768.0,41.13
769.0,42.92
800.0,0.89
801.0,1.34
832.0,4.92
833.0,6.71
864.0,13.41
865.0,15.2
896.0,1.78
897.0,1.79
928.0,1.79
929.0,4.92
960.0,12.07
961.0,16.09
992.0,9.83
993.0,14.75
1024.0,1.79
1025.0,1.79
1056.0,2.67
1057.0,0.89
1088.0,4.02
1089.0,7.15
1120.0,8.04
1121.0,12.06
1152.0,9.39
1153.0,0.45
1184.0,3.58
1185.0,0.89
1216.0,14.76
1217.0,0.89
1248.0,11.62
1249.0,0.89
1280.0,3.58
1281.0,0.89
1312.0,0.89
1313.0,1.78
1344.0,63.48
1345.0,66.61
1376.0,54.95
1377.0,0.89
1408.0,7.15
1409.0,16.09
1440.0,80.48
1441.0,82.27
1472.0,0.89
1473.0,0.89
1504.0,22.36
1505.0,3.13
1536.0,29.06
1537.0,34.87
1568.0,0.45
1569.0,0.9
1600.0,2.23
1601.0,1.79
1632.0,1.79
1633.0,2.68
1664.0,1.78
1665.0,2.67
1696.0,3.13
1697.0,3.13
1728.0,0.89
1729.0,3.13
1760.0,22.79
1761.0,26.81
1792.0,1.79
1793.0,3.58
1824.0,4.92
1825.0,9.84
1856.0,3.57
1857.0,5.36
1888.0,129.21
1889.0,140.39
1920.0,3.13
1921.0,1.79
1952.0,0.89
1953.0,0.89
1984.0,8.04
1985.0,12.96
2016.0,2.67
2017.0,0.89
2048.0,13.86
2049.0,16.99
2080.0,8.94
2081.0,13.86
2112.0,0.89
2113.0,0.89
2144.0,1.79
2145.0,0.89
2176.0,171.19
2177.0,183.26
2208.0,5.36
2209.0,1.79
2240.0,4.92
2241.0,1.79
2272.0,20.57
2273.0,26.38
2304.0,1.78
2305.0,0.89
2336.0,119.35
2337.0,123.37
2368.0,38.0
2369.0,42.02
2400.0,55.87
2401.0,59.89
2432.0,12.08
2433.0,17.0
2464.0,272.24
2465.0,280.29
2496.0,39.34
2497.0,47.39
2528.0,9.83
2529.0,12.96
2560.0,98.34
2561.0,101.47
2592.0,6.26
2593.0,7.15
2624.0,8.49
2625.0,0.89
2656.0,4.92
2657.0,5.81
2688.0,10.28
2689.0,0.45
2720.0,0.45
2721.0,1.79
2752.0,159.14
2753.0,7.15
2784.0,61.25
2785.0,71.08
2816.0,266.44
2817.0,273.59
2848.0,107.28
2849.0,117.11
2880.0,39.35
2881.0,0.89
2912.0,1.79
2913.0,1.79
2944.0,18.33
2945.0,3.13
2976.0,44.7
2977.0,49.62
3008.0,18.32
3009.0,25.47
3040.0,47.83
3041.0,57.66
3072.0,0.89
3073.0,1.79
3104.0,1.79
3105.0,3.58
3136.0,4.02
3137.0,1.79
3168.0,41.13
3169.0,42.92
3200.0,9.39
3201.0,12.52
3232.0,0.89
3233.0,3.13
3264.0,98.8
3265.0,101.93
3296.0,21.9
3297.0,29.95
3328.0,30.84
3329.0,39.78
3360.0,46.93
3361.0,50.06
3392.0,8.49
3393.0,0.89
3424.0,1.79
3425.0,1.79
3456.0,10.28
3457.0,0.89
3488.0,0.89
3489.0,1.78
3520.0,4.92
3521.0,8.05
3552.0,8.05
3553.0,1.79
3584.0,3.13
3585.0,8.05
3616.0,8.94
3617.0,3.13
3648.0,1.78
3649.0,1.79
3680.0,0.89
3681.0,1.78
3712.0,3.13
3713.0,8.05
3744.0,32.18
3745.0,33.97
3776.0,6.71
3777.0,8.5
3808.0,8.05
3809.0,11.18
3840.0,0.89
3841.0,1.79
3872.0,1.79
3873.0,3.58
3904.0,4.02
3905.0,7.15
3936.0,0.89
3937.0,1.79
3968.0,0.89
3969.0,0.89
4000.0,14.76
4001.0,19.68
4032.0,3.13
4033.0,6.26
4064.0,1.79
4065.0,2.68
4096.0,1.79
4097.0,3.58
4128.0,6.71
4129.0,1.79
4160.0,1.78
4161.0,2.67
4192.0,18.33
4193.0,22.35
4224.0,29.06
4225.0,0.89
4256.0,0.89
4257.0,1.78
4288.0,14.3
4289.0,18.32
4320.0,4.02
4321.0,7.15
4352.0,0.89
4353.0,1.79
4384.0,3.13
4385.0,1.79
4416.0,30.84
4417.0,34.86
4448.0,12.96
4449.0,16.98
4480.0,7.15
4481.0,12.96
4512.0,10.73
4513.0,12.52
4544.0,2.67
4545.0,1.79
4576.0,0.89
4577.0,1.79
4608.0,3.13
4609.0,4.92
4640.0,3.13
4641.0,6.26
4672.0,8.5
4673.0,9.39
4704.0,3.13
4705.0,4.92
4736.0,0.89
4737.0,1.79
4768.0,11.18
4769.0,15.2
4800.0,1.79
4801.0,0.45
4832.0,0.89
4833.0,0.89
4864.0,8.05
4865.0,11.18
4896.0,44.26
4897.0,46.05
4928.0,1.79
4929.0,0.89
4960.0,9.84
4961.0,12.97
4992.0,57.23
4993.0,60.36
5024.0,50.97
5025.0,52.76
5056.0,3.58
5057.0,5.37
5088.0,3.58
5089.0,5.37
5120.0,1.78
5121.0,2.67
5152.0,1.79
5153.0,3.58
5184.0,3.13
5185.0,4.92
5216.0,152.44
5217.0,155.57
5248.0,23.69
5249.0,28.61
5280.0,0.89
5281.0,1.79
5312.0,12.07
5313.0,16.99
5344.0,38.9
5345.0,42.92
5376.0,3.13
5377.0,6.26
5408.0,0.89
5409.0,1.78
5440.0,0.89
5441.0,1.79
5472.0,38.88
5473.0,40.67
5504.0,87.19
5505.0,90.32
5536.0,3.58
5537.0,6.71
5568.0,30.4
5569.0,32.19
5600.0,3.13
5601.0,4.92
5632.0,3.13
5633.0,4.92
5664.0,0.89
5665.0,2.68
5696.0,15.65
5697.0,19.67
5728.0,1.78
5729.0,2.67
5760.0,21.46
5761.0,23.25
5792.0,0.89
5793.0,1.79
5824.0,15.21
5825.0,17.0
5856.0,1.78
5857.0,1.79
5888.0,1.79
5889.0,6.71
5920.0,3.13
5921.0,6.26
5952.0,0.89
5953.0,1.78
5984.0,0.89
5985.0,1.78
6016.0,9.39
6017.0,12.52
6048.0,36.66
6049.0,38.45
6080.0,4.92
6081.0,6.71
6112.0,4.92
6113.0,6.71
6144.0,1.79
6145.0,0.89
6176.0,2.23
6177.0,3.12
6208.0,85.85
6209.0,88.98
6240.0,4.47
6241.0,7.6
6272.0,5.37
6273.0,8.5
6304.0,3.13
6305.0,4.92
6336.0,3.13
6337.0,6.26
6368.0,16.54
6369.0,19.67
6400.0,4.92
6401.0,8.94
6432.0,1.78
6433.0,0.89
6464.0,1.79
6465.0,8.05
6496.0,0.89
6497.0,3.13
6528.0,1.79
6529.0,0.89
6560.0,2.68
6561.0,1.79
6592.0,68.4
6593.0,78.23
6624.0,278.5
6625.0,3.13
6656.0,9.84
6657.0,12.97
6688.0,8.05
6689.0,11.18
6720.0,0.89
6721.0,0.89
6752.0,0.89
6753.0,0.89
6784.0,1.34
6785.0,1.79
6816.0,0.89
6817.0,2.68
6848.0,1.79
6849.0,2.68
6880.0,61.68
6881.0,69.73
6912.0,2.68
6913.0,0.89
6944.0,85.81
6945.0,88.94
6976.0,16.99
6977.0,20.12
7008.0,6.26
7009.0,8.05
7040.0,0.89
7041.0,0.89
7072.0,0.89
7073.0,1.78
7104.0,2.68
7105.0,3.57
7136.0,59.01
7137.0,64.82
7168.0,2.68
7169.0,3.57
7200.0,0.89
7201.0,3.13
7232.0,1.79
7233.0,2.68
7264.0,2.68
7265.0,3.57
7296.0,6.71
7297.0,9.84
7328.0,1.79
7329.0,3.58
7360.0,3.13
7361.0,3.13
7392.0,0.89
7393.0,2.68
7424.0,1.78
7425.0,0.89
7456.0,89.85
7457.0,102.81
7488.0,0.89
7489.0,1.79
7520.0,12.51
7521.0,14.3
7552.0,84.45
7553.0,94.28
7584.0,50.97
7585.0,59.91
7616.0,186.01
7617.0,187.8
7648.0,243.29
7649.0,245.08
7680.0,300.57
7681.0,302.36
7712.0,4.92
7713.0,8.05
7744.0,13.85
7745.0,0.89
7776.0,3.58
7777.0,0.89
7808.0,1.79
7809.0,3.58
7840.0,7.6
7841.0,0.89
7872.0,3.13
7873.0,4.92
7904.0,3.57
7905.0,0.89
7936.0,164.51
7937.0,166.3
7968.0,1.78
7969.0,2.67
8000.0,1.78
8001.0,2.67
8032.0,2.67
8033.0,3.56
8064.0,3.13
8065.0,4.02
8096.0,22.81
8097.0,0.89
8128.0,31.72
8129.0,41.55
8160.0,14.75
8161.0,17.88
8192.0,1.79
8193.0,3.58
8224.0,3.13
8225.0,4.92
8256.0,179.71
8257.0,182.84
8288.0,10.28
8289.0,13.41
8320.0,110.85
8321.0,115.77
8352.0,124.26
8353.0,130.07
8384.0,3.58
8385.0,0.89
8416.0,21.89
8417.0,25.02
8448.0,2.67
8449.0,0.89
8480.0,0.89
8481.0,1.78
8512.0,1.79
8513.0,2.68
8544.0,30.4
8545.0,36.21
8576.0,4.02
8577.0,8.04
8608.0,7.15
8609.0,8.94
8640.0,2.67
8641.0,3.13
8672.0,156.45
8673.0,162.26
8704.0,55.42
8705.0,64.36
8736.0,354.06
8737.0,359.87
8768.0,6.26
8769.0,11.18
8800.0,3.57
8801.0,4.46
8832.0,1.79
8833.0,2.68
8864.0,137.22
8865.0,146.16
8896.0,385.32
8897.0,392.47
8928.0,1.78
8929.0,0.89
8960.0,256.13
8961.0,260.15
8992.0,28.16
8993.0,33.08
9024.0,1.78
9025.0,1.79
9056.0,12.52
9057.0,0.89
9088.0,105.94
9089.0,114.88
9120.0,3.13
9121.0,6.26
9152.0,30.39
9153.0,33.52
9184.0,60.35
9185.0,67.5
9216.0,12.06
9217.0,1.79
9248.0,25.03
9249.0,4.02
9280.0,24.14
9281.0,32.19
9312.0,255.72
9313.0,261.53
9344.0,22.81
9345.0,27.73
9376.0,4.92
9377.0,0.89
9408.0,9.84
9409.0,12.97
9440.0,125.18
9441.0,128.31
9472.0,181.94
9473.0,189.09
9504.0,77.77
9505.0,80.9
9536.0,10.28
9537.0,14.3
9568.0,3.13
9569.0,8.05
9600.0,25.03
9601.0,25.92
9632.0,3.13
9633.0,1.79
9664.0,12.96
9665.0,16.98
9696.0,1.79
9697.0,2.68
9728.0,66.61
9729.0,68.4
9760.0,80.47
9761.0,91.65
9792.0,29.51
9793.0,31.3
9824.0,3.13
9825.0,4.02
9856.0,1.79
9857.0,3.58
9888.0,0.45
9889.0,0.89
9920.0,7.6
9921.0,9.39
9952.0,3.58
9953.0,3.13
9984.0,4.01
9985.0,4.9
10016.0,8.04
10017.0,9.83
10048.0,11.18
10049.0,0.89
10080.0,20.12
10081.0,21.91
10112.0,3.58
10113.0,5.37
10144.0,49.16
10145.0,54.97
10176.0,88.52
10177.0,93.44
10208.0,3.12
10209.0,1.79
10240.0,172.09
10241.0,179.24
10272.0,29.5
10273.0,34.42
10304.0,58.56
10305.0,63.48
10336.0,72.42
10337.0,81.36
10368.0,24.15
10369.0,29.07
10400.0,0.89
10401.0,1.78
10432.0,19.67
10433.0,22.8
10464.0,0.89
10465.0,0.89
10496.0,31.74
10497.0,38.89
10528.0,286.09
10529.0,295.92
10560.0,1.78
10561.0,0.89
10592.0,3.58
10593.0,5.37
10624.0,21.02
10625.0,25.94
10656.0,0.45
10657.0,0.89
10688.0,3.13
10689.0,7.15
10720.0,5.81
10721.0,9.83
10752.0,218.61
10753.0,222.63
10784.0,0.89
10785.0,1.79
10816.0,6.26
10817.0,3.13
10848.0,24.14
10849.0,25.93
10880.0,0.89
10881.0,1.78
10912.0,1.79
10913.0,3.13
10944.0,0.89
10945.0,1.78
10976.0,13.86
10977.0,16.99
11008.0,15.19
11009.0,21.0
11040.0,77.34
11041.0,80.47
11072.0,8.94
11073.0,14.75
11104.0,36.2
11105.0,42.01
11136.0,16.99
11137.0,28.17
11168.0,1.34
11169.0,3.13
11200.0,16.09
11201.0,23.24
11232.0,1.78
11233.0,2.67
11264.0,9.83
11265.0,8.94
11296.0,29.06
11297.0,36.21
11328.0,183.25
11329.0,187.27
11360.0,1.79
11361.0,3.58
11392.0,12.97
11393.0,16.1
11424.0,1.79
11425.0,0.89
11456.0,2.68
11457.0,1.79
11488.0,3.13
11489.0,8.94
11520.0,37.55
11521.0,40.68
11552.0,0.89
11553.0,1.79
11584.0,9.39
11585.0,12.52
11616.0,0.89
11617.0,1.78
11648.0,185.06
11649.0,194.0
11680.0,83.15
11681.0,94.33
11712.0,27.27
11713.0,31.29
11744.0,1.79
11745.0,0.89
11776.0,63.03
11777.0,72.86
11808.0,29.06
11809.0,33.08
11840.0,10.73
11841.0,14.75
11872.0,12.07
11873.0,15.2
11904.0,105.49
11905.0,115.32
11936.0,4.47
11937.0,8.05
11968.0,4.92
11969.0,12.97
12000.0,31.3
12001.0,33.09
12032.0,1.79
12033.0,4.92
12064.0,4.92
12065.0,6.71
12096.0,41.56
12097.0,44.69
12128.0,14.31
12129.0,24.14
12160.0,29.95
12161.0,39.78
12192.0,63.02
12193.0,67.04
12224.0,185.07
12225.0,188.2
12256.0,74.65
12257.0,77.78
12288.0,39.77
12289.0,41.56
12320.0,6.26
12321.0,9.39
12352.0,3.13
12353.0,4.92
12384.0,156.92
12385.0,160.94
12416.0,1.78
12417.0,1.79
12448.0,4.02
12449.0,7.15
12480.0,1.79
12481.0,3.58
12512.0,1.78
12513.0,2.67
12544.0,18.78
12545.0,22.8
12576.0,34.86
12577.0,36.65
12608.0,1.79
12609.0,2.68
12640.0,5.81
12641.0,12.96
12672.0,3.13
12673.0,3.13
12704.0,5.37
12705.0,7.16
12736.0,31.74
12737.0,35.76
12768.0,3.13
12769.0,6.26
12800.0,0.45
12801.0,1.34
12832.0,4.92
12833.0,8.94
12864.0,32.19
12865.0,33.98
12896.0,1.78
12897.0,1.79
