year,Iws
2010.0,1.79
2010.0,10.72
2010.0,12.51
2010.0,121.58
2010.0,124.71
2010.0,198.45
2010.0,201.58
2010.0,33.52
2010.0,39.33
2010.0,24.59
2010.0,26.38
2010.0,6.71
2010.0,0.89
2010.0,19.22
2010.0,22.35
2010.0,66.16
2010.0,71.97
2010.0,160.03
2010.0,169.86
2010.0,13.85
2010.0,15.64
2010.0,1.78
2010.0,2.23
2010.0,2.68
2010.0,5.81
2010.0,4.02
2010.0,5.81
2010.0,0.45
2010.0,1.34
2010.0,65.7
2010.0,75.53
2010.0,59.0
2010.0,63.92
2010.0,79.15
2010.0,86.3
2010.0,129.18
2010.0,141.25
2010.0,8.5
2010.0,1.79
2010.0,24.15
2010.0,32.2
2010.0,7.15
2010.0,12.07
2010.0,3.13
2010.0,0.89
2010.0,0.89
2010.0,1.79
2010.0,41.13
2010.0,42.92
2010.0,0.89
2010.0,1.34
2010.0,4.92
2010.0,6.71
2010.0,13.41
2010.0,15.2
2010.0,1.78
2010.0,1.79
2010.0,1.79
2010.0,4.92
2010.0,12.07
2010.0,16.09
2010.0,9.83
2010.0,14.75
2010.0,1.79
2010.0,1.79
2010.0,2.67
2010.0,0.89
2010.0,4.02
2010.0,7.15
2010.0,8.04
2010.0,12.06
2010.0,9.39
2010.0,0.45
2010.0,3.58
2010.0,0.89
2010.0,14.76
2010.0,0.89
2010.0,11.62
2010.0,0.89
2010.0,3.58
2010.0,0.89
2010.0,0.89
2010.0,1.78
2010.0,63.48
2010.0,66.61
2010.0,54.95
2010.0,0.89
2010.0,7.15
2010.0,16.09
2010.0,80.48
2010.0,82.27
2010.0,0.89
2010.0,0.89
2010.0,22.36
2010.0,3.13
2010.0,29.06
2010.0,34.87
2010.0,0.45
2010.0,0.9
2010.0,2.23
2010.0,1.79
2010.0,1.79
2010.0,2.68
2010.0,1.78
2010.0,2.67
2010.0,3.13
2010.0,3.13
2010.0,0.89
2010.0,3.13
2010.0,22.79
2010.0,26.81
2010.0,1.79
2010.0,3.58
2010.0,4.92
2010.0,9.84
2010.0,3.57
2010.0,5.36
2010.0,129.21
2010.0,140.39
2010.0,3.13
2010.0,1.79
2010.0,0.89
2010.0,0.89
2010.0,8.04
2010.0,12.96
2010.0,2.67
2010.0,0.89
2010.0,13.86
2010.0,16.99
2010.0,8.94
2010.0,13.86
2010.0,0.89
2010.0,0.89
2010.0,1.79
2010.0,0.89
2010.0,171.19
2010.0,183.26
2010.0,5.36
2010.0,1.79
2010.0,4.92
2010.0,1.79
2010.0,20.57
2010.0,26.38
2010.0,1.78
2010.0,0.89
2010.0,119.35
2010.0,123.37
2010.0,38.0
2010.0,42.02
2010.0,55.87
2010.0,59.89
2010.0,12.08
2010.0,17.0
2010.0,272.24
2010.0,280.29
2010.0,39.34
2010.0,47.39
2010.0,9.83
2010.0,12.96
2010.0,98.34
2010.0,101.47
2010.0,6.26
2010.0,7.15
2010.0,8.49
2010.0,0.89
2010.0,4.92
2010.0,5.81
2010.0,10.28
2010.0,0.45
2010.0,0.45
2010.0,1.79
2010.0,159.14
2010.0,7.15
2010.0,61.25
2010.0,71.08
2010.0,266.44
2010.0,273.59
2010.0,107.28
2010.0,117.11
2010.0,39.35
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,18.33
2010.0,3.13
2010.0,44.7
2010.0,49.62
2010.0,18.32
2010.0,25.47
2010.0,47.83
2010.0,57.66
2010.0,0.89
2010.0,1.79
2010.0,1.79
2010.0,3.58
2010.0,4.02
2010.0,1.79
2010.0,41.13
2010.0,42.92
2010.0,9.39
