date,value
01/01/2019,93.37
01/01/2019,78.47
01/01/2019,52.53
01/01/2019,61.85
01/01/2019,69.66
01/01/2020,70.35
01/01/2020,83.21
01/01/2020,72.29
01/01/2020,60.46
01/01/2021,16.53
01/01/2021,11.82
01/01/2021,8.45
01/01/2021,5.57
01/01/2021,12.74
01/01/2021,16.93
01/01/2022,34.9
01/01/2022,29.6
01/01/2022,71.89
01/01/2022,38.23
01/01/2023,43.47
01/01/2023,62.82
01/01/2023,74.38
01/01/2023,69.72
01/01/2023,39.46
01/01/2023,48.11
01/02/2019,64.59
01/02/2019,79.58
01/02/2019,63.6
01/02/2019,58.65
01/02/2020,61.09
01/02/2020,53.11
01/02/2020,53.16
01/02/2020,60.43
01/02/2021,33.05
01/02/2021,30.52
01/02/2021,11.57
01/02/2021,9.94
01/02/2021,30.12
01/02/2021,26.25
01/02/2022,35.97
01/02/2022,30.5
01/02/2022,26.82
01/02/2022,73.65
01/02/2023,53.71
01/02/2023,45.45
01/02/2023,93.51
01/02/2023,75.63
01/02/2023,55.1
01/02/2023,38.09
01/03/2019,67.55
01/03/2019,67.47
01/03/2019,65.89
01/03/2019,66.41
01/03/2020,32.63
01/03/2020,26.05
01/03/2020,30.58
01/03/2020,17.89
01/03/2021,34.65
01/03/2021,36.73
01/03/2021,11.88
01/03/2021,17.08
01/03/2021,40.8
01/03/2021,33.45
01/03/2022,42.17
01/03/2022,32.8
01/03/2022,43.02
01/03/2022,29.57
01/04/2019,49.62
01/04/2019,66.42
01/04/2019,45.53
01/04/2019,69.82
01/04/2019,56.29
01/04/2019,60.71
01/04/2020,0.04
01/04/2020,0.13
01/04/2020,0.25
01/04/2020,0.04
01/04/2021,14.49
01/04/2021,11.43
01/04/2021,15.29
01/04/2021,19.87
01/04/2022,53.02
01/04/2022,46.24
01/04/2022,21.53
01/04/2022,29.3
01/04/2022,46.54
01/04/2022,42.73
01/05/2019,70.52
01/05/2019,61.68
01/05/2019,53.47
01/05/2019,42.6
01/05/2020,1.03
01/05/2020,1.03
01/05/2020,6.36
01/05/2020,6.84
01/05/2020,4.97
01/05/2020,1.3
01/05/2021,1.63
01/05/2021,1.29
01/05/2021,3.7
01/05/2021,2.06
01/05/2022,56.77
01/05/2022,45.63
01/05/2022,39.65
01/05/2022,58.32
01/06/2019,54.34
01/06/2019,59.39
01/06/2019,54.25
01/06/2019,51.66
01/06/2019,47.79
01/06/2019,58.86
01/06/2020,22.7
