date,ncumul_conf
01/01/2020,1.0
01/02/2020,5.0
02/02/2020,5.0
27/02/2020,2.0
27/02/2020,7.0
02/03/2020,16.0
02/03/2020,7.0
05/03/2020,25.0
05/03/2020,nan
08/03/2020,1.0
08/03/2020,30.0
10/03/2020,6.0
10/03/2020,11.0
11/03/2020,101.0
12/03/2020,5.0
13/03/2020,39.0
13/03/2020,1.0
14/03/2020,100.0
14/03/2020,218.0
16/03/2020,2.0
16/03/2020,20.0
18/03/2020,194.0
18/03/2020,85.0
19/03/2020,12.0
19/03/2020,51.0
20/03/2020,7.0
20/03/2020,711.0
22/03/2020,216.0
22/03/2020,36.0
23/03/2020,245.0
23/03/2020,1162.0
25/03/2020,686.0
25/03/2020,458.0
26/03/2020,299.0
26/03/2020,48.0
27/03/2020,131.0
27/03/2020,40.0
28/03/2020,37.0
28/03/2020,173.0
29/03/2020,350.0
29/03/2020,1720.0
31/03/2020,132.0
31/03/2020,402.0
01/04/2020,146.0
01/04/2020,185.0
02/04/2020,51.0
02/04/2020,227.0
03/04/2020,138.0
03/04/2020,754.0
05/04/2020,715.0
05/04/2020,671.0
06/04/2020,596.0
06/04/2020,50.0
07/04/2020,4245.0
07/04/2020,60.0
08/04/2020,1406.0
08/04/2020,2659.0
09/04/2020,24.0
09/04/2020,526.0
11/04/2020,91.0
11/04/2020,743.0
12/04/2020,663.0
12/04/2020,251.0
13/04/2020,321.0
13/04/2020,916.0
14/04/2020,894.0
14/04/2020,303.0
15/04/2020,78.0
16/04/2020,840.0
17/04/2020,706.0
17/04/2020,266.0
18/04/2020,4913.0
18/04/2020,66.0
19/04/2020,63.0
19/04/2020,927.0
20/04/2020,114.0
20/04/2020,78.0
22/04/2020,791.0
22/04/2020,188.0
23/04/2020,5173.0
23/04/2020,1796.0
24/04/2020,376.0
24/04/2020,1070.0
25/04/2020,938.0
25/04/2020,72.0
26/04/2020,3368.0
27/04/2020,864.0
28/04/2020,664.0
28/04/2020,676.0
29/04/2020,1847.0
29/04/2020,82.0
30/04/2020,1112.0
30/04/2020,1771.0
01/05/2020,952.0
01/05/2020,303.0
02/05/2020,89.0
03/05/2020,875.0
04/05/2020,691.0
04/05/2020,113.0
05/05/2020,82.0
05/05/2020,5191.0
06/05/2020,1807.0
06/05/2020,3245.0
07/05/2020,965.0
07/05/2020,305.0
09/05/2020,878.0
09/05/2020,1126.0
10/05/2020,786.0
10/05/2020,5375.0
11/05/2020,3268.0
11/05/2020,193.0
12/05/2020,376.0
12/05/2020,25.0
14/05/2020,823.0
14/05/2020,195.0
15/05/2020,5410.0
15/05/2020,1899.0
